elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.448,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.5,0.25,1.0,1.25,right,True
0.746,3.0056,-0.0,-0.0056,0.0,0.0,0.0,3.0056,0.0,0.0,1.5056,0.2486,1.0,1.2486,right,True
1.049,3.0506,-0.0014,-0.0506,0.0,0.0,0.0,3.0506,0.025,0.0004,1.5506,0.2374,0.999,1.2363,right,True
1.348,3.1395,-0.0101,-0.1406,0.0,0.0,0.0,3.1395,0.185,0.0032,1.6395,0.2151,0.9926,1.2077,right,True
1.65,3.2422,-0.0319,-0.275,0.0,0.0,0.0,3.2423,0.563,0.0098,1.7423,0.1894,0.9775,1.1669,right,True
1.949,3.3405,-0.0683,-0.425,0.0,0.0,0.0,3.3412,1.172,0.0205,1.8412,0.1647,0.9531,1.1178,fast_right,True
2.243,3.4359,-0.1213,-0.575,0.0803,0.0,0.0,3.3578,2.071,0.0361,1.8578,0.1606,0.9172,1.0777,fast_straight,True
2.548,3.5401,-0.2015,-0.7194,0.2003,0.0,0.0,3.3459,3.453,0.0603,1.8459,0.1635,0.8619,1.0254,straight,True
2.85,3.6537,-0.3138,-0.8244,0.3203,0.0,0.0,3.3481,5.377,0.0938,1.8481,0.163,0.7849,0.9479,right,True
3.142,3.7487,-0.4243,-0.8928,0.4401,0.0,0.0,3.3357,7.308,0.1276,1.8357,0.1661,0.7077,0.8737,fast_left,True
3.448,3.8189,-0.5204,-0.9806,0.5603,0.0,0.0,3.3,9.073,0.1583,1.8,0.175,0.6371,0.8121,straight,True
3.742,3.8885,-0.6321,-1.0346,0.6802,0.0,0.0,3.27,11.145,0.1945,1.77,0.1825,0.5542,0.7367,straight,True
4.047,3.964,-0.7617,-1.0456,0.8003,0.0,0.0,3.2541,13.537,0.2363,1.7541,0.1865,0.4585,0.645,left,True
4.363,4.0365,-0.8865,-1.04,0.9203,0.0,0.0,3.2398,15.881,0.2772,1.7398,0.19,0.3648,0.5548,straight,True
4.658,4.0965,-0.9844,-1.0034,1.0404,0.0,0.0,3.2107,17.855,0.3116,1.7107,0.1973,0.2858,0.4831,right,True
4.957,4.1718,-1.1008,-0.9974,1.1603,0.0,0.0,3.2064,20.079,0.3504,1.7064,0.1984,0.1968,0.3953,left,True
5.244,4.2312,-1.1959,-1.028,1.2801,0.0,0.0,3.1843,22.06,0.385,1.6843,0.2039,0.1176,0.3215,left,True
5.543,4.2851,-1.286,-1.028,1.4001,0.0,0.0,3.1587,24.026,0.4193,1.6587,0.2103,0.039,0.2493,left,True
5.743,4.322,-1.3455,-1.003,1.4801,0.0,0.0,3.1443,25.336,0.4422,1.6443,0.2139,-0.0134,0.2005,left,True
6.056,4.3816,-1.4319,-0.928,1.6003,0.0,0.0,3.1283,27.241,0.4755,1.6283,0.2179,-0.0897,0.1283,left,True
6.355,4.4495,-1.512,-0.808,1.7204,0.0,0.0,3.12,28.988,0.5059,1.62,0.22,-0.1595,0.0605,fast_left,True
6.655,4.531,-1.5845,-0.6586,1.8404,0.0,0.0,3.1225,30.493,0.5322,1.6225,0.2194,-0.2197,-0.0003,fast_left,True
6.943,4.6364,-1.6533,-0.5086,1.9601,0.0,0.0,3.1458,31.706,0.5534,1.6458,0.2136,-0.2682,-0.0547,left,True
7.143,4.7113,-1.6899,-0.4086,2.0401,0.0,0.0,3.1609,32.318,0.5641,1.6609,0.2098,-0.2927,-0.0829,left,True
7.455,4.8125,-1.7245,-0.2586,2.1603,0.0,0.0,3.1635,33.032,0.5765,1.6635,0.2091,-0.3213,-0.1122,left,True
7.755,4.9157,-1.7431,-0.1086,2.2804,0.0,0.0,3.1596,33.482,0.5844,1.6596,0.2101,-0.3393,-0.1292,left,True
8.048,5.0206,-1.7461,0.0414,2.4002,0.0,0.0,3.1488,33.678,0.5878,1.6488,0.2128,-0.3471,-0.1343,fast_left,True
8.356,5.1302,-1.7324,0.1914,2.5203,0.0,0.0,3.1326,33.576,0.586,1.6326,0.2169,-0.343,-0.1262,fast_left,True
8.656,5.2515,-1.6987,0.3414,2.6403,0.0,0.0,3.1151,33.046,0.5768,1.6151,0.2212,-0.3218,-0.1006,left,True
8.956,5.3626,-1.6491,0.4914,2.7603,0.0,0.0,3.0809,32.363,0.5648,1.5809,0.2298,-0.2945,-0.0647,fast_left,True
9.255,5.4543,-1.5899,0.6414,2.8804,0.0,0.0,3.0253,31.705,0.5534,1.5253,0.2437,-0.2682,-0.0245,fast_left,True
9.554,5.5488,-1.5068,0.7914,3.0003,0.0,0.0,2.9606,30.594,0.534,1.4606,0.2598,-0.2238,0.0361,fast_straight,True
9.846,5.6324,-1.4072,0.9372,3.1201,0.0,0.0,2.8796,29.254,0.5106,1.3796,0.2801,-0.1701,0.11,fast_left,True
10.155,5.717,-1.2752,1.0564,3.2,0.0,0.0,2.8216,26.869,0.469,1.3216,0.2946,-0.0748,0.2198,fast_left,True
10.456,5.7724,-1.1575,1.2022,3.2,0.0,0.0,2.8208,24.227,0.4228,1.3208,0.2948,0.0309,0.3257,fast_left,True
10.756,5.8082,-1.0369,1.3522,3.2,0.0,0.0,2.8068,21.68,0.3784,1.3068,0.2983,0.1328,0.4311,fast_right,True
11.056,5.8257,-0.9122,1.498,3.2,0.0,0.0,2.7796,19.158,0.3344,1.2796,0.3051,0.2337,0.5388,straight,True
11.357,5.827,-0.7821,1.606,3.2,0.0,0.0,2.741,16.578,0.2893,1.241,0.3148,0.3369,0.6516,fast_right,True
11.655,5.8166,-0.6369,1.669,3.2,0.0,0.0,2.693,13.68,0.2388,1.193,0.3268,0.4528,0.7796,fast_right,True
11.954,5.8025,-0.5115,1.687,3.2,0.0,0.0,2.6523,11.118,0.194,1.1523,0.3369,0.5553,0.8922,fast_straight,True
12.256,5.7887,-0.382,1.6684,3.2,0.0,0.0,2.6167,8.394,0.1465,1.1167,0.3458,0.6642,1.0101,fast_straight,True
12.549,5.7726,-0.216,1.6672,3.2,0.0,0.0,2.5816,4.799,0.0838,1.0816,0.3546,0.808,1.1626,left,True
12.854,5.7555,-0.041,1.6714,3.2,0.0,0.0,2.5559,0.919,0.016,1.0559,0.361,0.9632,1.3243,fast_straight,True
13.156,5.7384,0.1044,1.705,3.2,0.0,0.0,2.5405,2.355,0.0411,1.0405,0.3649,0.9058,1.2707,fast_straight,True
13.452,5.7142,0.2755,1.7122,3.2,0.0,0.0,2.5292,6.253,0.1091,1.0292,0.3677,0.7499,1.1176,fast_straight,True
13.756,5.6888,0.4537,1.7122,3.2,0.0,0.0,2.5298,10.331,0.1803,1.0298,0.3675,0.5868,0.9543,right,True
14.056,5.6642,0.6277,1.708,3.2,0.0,0.0,2.5429,14.292,0.2494,1.0429,0.3643,0.4283,0.7926,right,True
14.355,5.6477,0.7647,1.666,3.2,0.0,0.0,2.5644,17.351,0.3028,1.0644,0.3589,0.306,0.6649,left,True
14.656,5.6419,0.8708,1.5874,3.2,0.0,0.0,2.5925,19.626,0.3425,1.0925,0.3519,0.215,0.5668,straight,True
14.955,5.6434,0.9799,1.5394,3.2,0.0,0.0,2.6326,21.854,0.3814,1.1326,0.3419,0.1258,0.4677,straight,True
15.255,5.6487,1.1226,1.5322,3.2,0.0,0.0,2.6938,24.629,0.4299,1.1938,0.3265,0.0148,0.3414,right,True
15.543,5.6545,1.2683,1.528,3.2,0.0,0.0,2.7628,27.327,0.477,1.2628,0.3093,-0.0931,0.2162,right,True
15.743,5.6586,1.3454,1.505,3.2,0.0,0.0,2.8026,28.689,0.5007,1.3026,0.2993,-0.1476,0.1518,straight,True
15.944,5.6648,1.4157,1.4632,3.2,0.0,0.0,2.8424,29.873,0.5214,1.3424,0.2894,-0.1949,0.0945,left,True
