elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.451,-0.3788,-0.2409,0.0779,2.5,0.0,1.5708,2.8888,94.784,1.6543,1.3888,0.2778,-1.0,-0.7222,fast_left,False
0.75,-0.3732,-0.2405,0.0835,2.5,0.0,1.5708,2.8832,94.784,1.6543,1.3832,0.2792,-1.0,-0.7208,fast_left,False
1.052,-0.3284,-0.2358,0.1285,2.5,0.0,1.5708,2.8382,94.765,1.654,1.3382,0.2904,-1.0,-0.7096,fast_left,False
1.351,-0.2398,-0.2205,0.2185,2.5,0.0,1.5708,2.7486,94.602,1.6511,1.2486,0.3128,-1.0,-0.6872,fast_left,False
1.652,-0.1206,-0.1864,0.3529,2.5,0.0,1.5708,2.6273,94.07,1.6418,1.1273,0.3432,-1.0,-0.6568,fast_left,False
1.955,-0.0058,-0.1348,0.5029,2.5,0.0,1.5708,2.5095,93.079,1.6245,1.0095,0.3726,-1.0,-0.6274,fast_right,False
2.25,0.1,-0.0666,0.6473,2.5,0.0,1.5708,2.4009,91.59,1.5985,0.9009,0.3998,-1.0,-0.6002,fast_right,False
2.553,0.1963,0.0145,0.7523,2.5,0.0,1.5708,2.3037,89.639,1.5645,0.8037,0.4241,-1.0,-0.5759,fast_right,False
2.854,0.2855,0.1035,0.8123,2.5,0.0003,1.5709,2.2169,87.325,1.5241,0.7169,0.4458,-1.0,-0.5542,fast_right,False
3.154,0.3712,0.1959,0.8273,2.4971,0.1203,1.619,2.1273,85.206,1.4871,0.6273,0.4682,-1.0,-0.5318,fast_right,False
3.455,0.4574,0.2877,0.7973,2.4885,0.2399,1.6669,2.0316,83.144,1.4511,0.5316,0.4921,-1.0,-0.5079,fast_right,False
3.753,0.5482,0.3751,0.7223,2.4741,0.359,1.7149,1.926,81.265,1.4184,0.426,0.574,-1.0,-0.426,fast_right,False
4.053,0.6469,0.4533,0.6023,2.454,0.4774,1.763,1.8073,79.756,1.392,0.3073,0.6927,-1.0,-0.3073,fast_straight,False
4.375,0.7602,0.5199,0.4585,2.4283,0.5946,1.811,1.6697,78.804,1.3754,0.1697,0.8303,-1.0,-0.1697,left,False
4.649,0.9118,0.5849,0.3535,2.397,0.7102,1.8588,1.4905,78.319,1.3669,0.0095,0.9905,-1.0,-0.0095,left,False
4.961,1.0426,0.6287,0.2935,2.3601,0.8246,1.9069,1.3319,79.196,1.3822,0.1681,0.8319,-1.0,-0.1681,left,False
5.36,1.1446,0.6584,0.2785,2.3178,0.9368,1.9549,1.2058,81.344,1.4197,0.2942,0.7058,-1.0,-0.2942,left,False
5.515,1.1446,0.6584,0.2785,2.3026,0.9736,1.9708,1.2001,82.308,1.4366,0.2999,0.7001,-1.0,-0.2999,left,False
5.749,1.3115,0.7108,0.3535,2.2356,1.1189,2.0348,1.0102,87.242,1.5227,0.4898,0.5102,-1.0,-0.4898,left,False
6.06,1.4083,0.7515,0.4585,2.1792,1.2252,2.083,0.9048,92.219,1.6095,0.5952,0.4048,-1.0,-0.5952,left,False
6.363,1.4991,0.804,0.6029,2.118,1.3282,2.1309,0.811,98.171,1.7134,0.689,0.311,-1.0,-0.689,left,False
6.661,1.5811,0.8694,0.7529,2.0518,1.4283,2.1789,0.7307,105.055,1.8336,0.7693,0.2307,-1.0,-0.7693,straight,False
6.956,1.6552,0.9495,0.8987,1.9809,1.5251,2.2269,0.6613,112.899,1.9705,0.8387,0.1613,-1.0,-0.8387,right,False
7.257,1.7354,1.0625,1.0067,1.9055,1.6184,2.2749,0.5813,122.645,2.1406,0.9187,0.0813,-1.0,-0.9187,right,False
7.567,1.7923,1.1592,1.0697,1.8256,1.708,2.3229,0.5499,133.437,2.3289,0.9501,0.0499,-1.0,-0.9501,right,False
7.85,1.8416,1.2518,1.0877,1.7417,1.7935,2.3709,0.5508,144.616,2.524,0.9492,0.0508,-1.0,-0.9492,right,False
8.157,1.8912,1.3444,1.0607,1.6535,1.8751,2.4189,0.5815,155.536,2.7146,0.9185,0.0815,-1.0,-0.9185,right,False
8.447,1.9452,1.4344,0.9887,1.5618,1.9521,2.4668,0.6442,165.184,2.883,0.8558,0.1442,-1.0,-0.8558,fast_right,False
8.658,1.9858,1.4922,0.9157,1.4984,2.0012,2.4989,0.7048,170.581,2.9772,0.7952,0.2048,-1.0,-0.7952,fast_right,False
8.947,2.0675,1.5853,0.7729,1.4008,2.0707,2.5468,0.8247,178.022,3.1071,0.6753,0.3247,-1.0,-0.6753,fast_left,False
9.147,2.1302,1.6411,0.6735,1.3338,2.1145,2.5788,0.9265,178.48,3.1151,0.5735,0.4265,-1.0,-0.5735,fast_left,False
9.347,2.1979,1.6909,0.5885,1.2655,2.1561,2.6108,1.042,176.105,3.0736,0.458,0.542,-1.0,-0.458,left,False
9.662,2.3009,1.7532,0.4985,1.1603,2.2144,2.659,1.2303,174.366,3.0433,0.2697,0.7303,-1.0,-0.2697,left,False
9.96,2.3943,1.8011,0.4535,1.0528,2.2675,2.7069,1.4203,174.268,3.0415,0.0797,0.9203,-1.0,-0.0797,left,False
10.262,2.4889,1.8467,0.4535,0.9427,2.3154,2.7549,1.6156,174.712,3.0493,0.1156,0.8844,-1.0,-0.1156,left,False
10.564,2.5824,1.8944,0.4985,0.8306,2.358,2.8029,1.8121,175.419,3.0616,0.3121,0.6879,-1.0,-0.3121,left,False
10.862,2.6726,1.948,0.5885,0.7165,2.3951,2.8509,2.0066,176.221,3.0756,0.5066,0.4983,-1.0,-0.5017,left,False
11.156,2.7563,2.0113,0.7229,0.6008,2.4267,2.8989,2.1951,177.001,3.0893,0.6951,0.4512,-1.0,-0.5488,left,False
11.46,2.8299,2.0861,0.8729,0.4836,2.4528,2.9469,2.3748,177.728,3.1019,0.8748,0.4063,-1.0,-0.5937,left,False
11.747,2.8915,2.171,1.0229,0.3656,2.4731,2.9948,2.544,178.413,3.1139,1.044,0.364,-1.0,-0.636,left,False
12.066,2.9398,2.2641,1.1729,0.2463,2.4878,3.0429,2.7028,179.094,3.1258,1.2028,0.3243,-1.0,-0.6757,left,False
12.363,2.9736,2.3634,1.3229,0.1267,2.4968,3.0909,2.85,179.778,3.1377,1.35,0.2875,-1.0,-0.7125,left,False
12.657,2.9921,2.4667,1.4729,0.0067,2.5,3.1389,2.9856,179.514,3.1331,1.4856,0.2536,-1.0,-0.7464,left,False
12.962,2.995,2.5715,1.6229,-0.1133,2.4974,-3.0963,3.1092,178.769,3.1201,1.6092,0.2227,-1.0,-0.7773,left,False
13.25,2.9823,2.6757,1.7729,-0.2328,2.4891,-3.0483,3.2205,177.977,3.1063,1.7205,0.1949,-1.0,-0.8051,fast_left,False
