elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.413,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
0.613,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
0.918,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
1.214,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
1.418,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
1.716,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
2.015,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
2.313,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
2.614,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
2.913,2.5,1.0,1.5708,2.4987,0.0801,1.6028,0.9199,1.915,0.0334,0.5801,0.4199,0.9234,1.3433,fast_left
3.213,2.5,1.024,1.5764,2.492,0.1999,1.6508,0.8242,5.138,0.0897,0.6758,0.3242,0.7945,1.1187,fast_left
3.413,2.4992,1.065,1.6014,2.4843,0.2795,1.6828,0.7856,7.503,0.131,0.7144,0.2856,0.6999,0.9855,fast_left
3.713,2.4923,1.1637,1.6764,2.4681,0.3984,1.7308,0.7657,10.983,0.1917,0.7343,0.2657,0.5607,0.8264,fast_left
4.024,2.4715,1.2877,1.7964,2.4461,0.5165,1.7789,0.7716,13.814,0.2411,0.7284,0.2716,0.4474,0.7191,fast_left
4.32,2.4337,1.4078,1.9458,2.4185,0.6332,1.8269,0.7747,15.799,0.2757,0.7253,0.2747,0.368,0.6428,fast_left
4.626,2.3784,1.5209,2.0958,2.3853,0.7486,1.8749,0.7723,16.911,0.2952,0.7277,0.2723,0.3235,0.5959,fast_left
4.927,2.3068,1.6244,2.2458,2.3466,0.8622,1.9229,0.7632,17.185,0.2999,0.7368,0.2632,0.3126,0.5758,fast_left
5.215,2.2205,1.7161,2.3958,2.3026,0.9736,1.9708,0.747,16.61,0.2899,0.753,0.247,0.3356,0.5826,fast_left
5.425,2.1558,1.7696,2.4958,2.2702,1.047,2.0029,0.7315,15.766,0.2752,0.7685,0.2315,0.3694,0.6009,fast_left
5.718,2.0495,1.8371,2.6458,2.2174,1.1546,2.0509,0.7028,13.687,0.2389,0.7972,0.2028,0.4525,0.6554,fast_right
6.027,1.9344,1.888,2.7902,2.1593,1.26,2.099,0.6671,10.568,0.1844,0.8329,0.1671,0.5773,0.7444,fast_right
