elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.566,0.0,0.0,0.0,2.5,0.0,1.5708,2.5,90.0,1.5708,1.0,0.375,-1.0,-0.625,fast_left,False
0.845,2.5,1.0042,1.575,2.5,0.0,1.5708,1.0042,0.001,0.0,0.4958,0.5042,1.0,1.5042,fast_straight,True
1.147,2.499,1.0462,1.6058,2.5,0.0,1.5708,1.0462,0.055,0.001,0.4538,0.5462,0.9978,1.544,fast_straight,True
1.348,2.497,1.0991,1.61,2.5,0.0,1.5708,1.0992,0.159,0.0028,0.4008,0.5992,0.9936,1.5928,fast_right,True
1.642,2.4926,1.2141,1.6044,2.5,0.0,1.5708,1.2141,0.35,0.0061,0.2859,0.7141,0.986,1.7001,fast_straight,True
1.942,2.4906,1.3456,1.5706,2.5,0.0,1.5708,1.3457,0.4,0.007,0.1543,0.8457,0.984,1.8297,fast_straight,True
2.247,2.4915,1.5146,1.565,2.5,0.0,1.5708,1.5147,0.323,0.0056,0.0147,0.9853,0.9871,1.9724,straight,True
2.548,2.4925,1.689,1.565,2.4997,0.0402,1.5869,1.6488,0.672,0.0117,0.1488,0.8512,0.9731,1.8243,left,True
2.748,2.4931,1.789,1.5656,2.4971,0.1202,1.6189,1.6688,2.617,0.0457,0.1688,0.8312,0.8953,1.7265,left,True
3.047,2.4923,1.9096,1.5956,2.4885,0.2399,1.6669,1.6697,5.638,0.0984,0.1697,0.8303,0.7745,1.6047,left,True
3.345,2.4859,2.0144,1.6706,2.4741,0.3589,1.7149,1.6555,8.663,0.1512,0.1555,0.8445,0.6535,1.498,left,True
3.649,2.4692,2.118,1.7906,2.454,0.4774,1.7629,1.6407,11.538,0.2014,0.1407,0.8593,0.5385,1.3978,left,True
3.95,2.4383,2.2182,1.94,2.4283,0.5946,1.8109,1.6237,14.11,0.2463,0.1237,0.8763,0.4356,1.3119,left,True
