elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
3.139,-0.0112,-0.3446,0.1355,4.9942,0.24,1.6188,5.0395,93.911,1.639,3.5395,0.0,-1.0,-1.0,fast_left,False
3.435,-0.0057,-0.3439,0.1411,4.987,0.3598,1.6428,5.042,93.896,1.6388,3.542,0.0,-1.0,-1.0,fast_straight,False
3.737,0.0388,-0.3367,0.1749,4.977,0.4794,1.6668,5.0052,93.882,1.6386,3.5052,0.0,-1.0,-1.0,fast_straight,False
4.034,0.1273,-0.3206,0.1805,4.964,0.5986,1.6908,4.9233,93.885,1.6386,3.4233,0.0,-1.0,-1.0,fast_left,False
4.234,0.2098,-0.3056,0.1811,4.9538,0.678,1.7068,4.845,93.92,1.6392,3.345,0.0,-1.0,-1.0,fast_left,False
4.434,0.2923,-0.29,0.1961,4.9423,0.7572,1.7228,4.7665,93.981,1.6403,3.2665,0.0,-1.0,-1.0,fast_left,False
4.734,0.4152,-0.2625,0.2561,4.9227,0.8756,1.7468,4.649,94.085,1.6421,3.149,0.0,-1.0,-1.0,fast_left,False
5.034,0.5355,-0.2251,0.3611,4.9003,0.9934,1.7708,4.5317,94.138,1.643,3.0317,0.0,-1.0,-1.0,fast_straight,False
5.235,0.6133,-0.192,0.4549,4.8838,1.0718,1.7868,4.4535,94.107,1.6425,2.9535,0.0,-1.0,-1.0,fast_right,False
5.536,0.7393,-0.1207,0.5749,4.8567,1.1886,1.8108,4.3206,93.889,1.6387,2.8206,0.0,-1.0,-1.0,fast_right,False
5.834,0.8428,-0.0479,0.6499,4.8268,1.3048,1.8348,4.2073,93.627,1.6341,2.7073,0.0,-1.0,-1.0,fast_right,False
6.034,0.909,0.0038,0.6749,4.8053,1.3819,1.8508,4.1328,93.434,1.6307,2.6328,0.0,-1.0,-1.0,fast_right,False
6.341,1.0071,0.0829,0.6749,4.7706,1.497,1.8749,4.0205,93.171,1.6261,2.5205,0.0,-1.0,-1.0,fast_right,False
6.64,1.1068,0.1599,0.6299,4.7334,1.6108,1.8988,3.9061,93.011,1.6233,2.4061,0.0235,-1.0,-0.9765,fast_right,False
6.941,1.2113,0.2302,0.5399,4.6934,1.7241,1.9228,3.789,93.05,1.624,2.289,0.0528,-1.0,-0.9472,fast_right,False
7.25,1.323,0.2884,0.4055,4.6506,1.8362,1.9468,3.67,93.399,1.6301,2.17,0.0825,-1.0,-0.9175,fast_straight,False
7.612,1.4458,0.3311,0.2597,4.6052,1.9473,1.9708,3.5488,94.172,1.6436,2.0488,0.1128,-1.0,-0.8872,fast_left,False
7.767,1.4458,0.3311,0.2597,4.5896,1.9839,1.9788,3.5517,94.356,1.6468,2.0517,0.1121,-1.0,-0.8879,fast_left,False
8.037,1.7101,0.3779,0.1047,4.5237,2.1298,2.0108,3.3145,96.697,1.6877,1.8145,0.1714,-1.0,-0.8286,fast_left,False
