elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.389,5.0,1.0,1.5708,5.0,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight,True
0.69,5.0,1.0,1.5708,5.0,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight,True
0.992,5.0,1.024,1.5708,5.0,0.0,1.5708,1.024,0.0,0.0,0.476,0.524,1.0,1.524,fast_straight,True
1.289,5.0,1.093,1.5708,5.0,0.0,1.5708,1.093,0.0,0.0,0.407,0.593,1.0,1.593,fast_straight,True
1.488,5.0,1.164,1.5708,5.0,0.0,1.5708,1.164,0.0,0.0,0.336,0.664,1.0,1.664,fast_straight,True
1.689,5.0,1.255,1.5708,5.0,0.0,1.5708,1.255,0.0,0.0,0.245,0.755,1.0,1.755,fast_straight,True
1.995,5.0,1.426,1.5708,5.0,0.0,1.5708,1.426,0.0,0.0,0.074,0.926,1.0,1.926,straight,True
2.289,5.0,1.6004,1.5708,5.0,0.0,1.5708,1.6004,0.0,0.0,0.1004,0.8996,1.0,1.8996,straight,True
2.596,5.0,1.751,1.5708,5.0,0.0,1.5708,1.751,0.0,0.0,0.251,0.749,1.0,1.749,straight,True
2.892,5.0,1.901,1.5708,5.0,0.0,1.5708,1.901,0.0,0.0,0.401,0.599,1.0,1.599,straight,True
3.189,5.0,2.051,1.5708,4.9994,0.0801,1.5868,1.9709,0.937,0.0163,0.4709,0.5291,0.9625,1.4917,left,True
3.489,4.9998,2.1954,1.5764,4.996,0.2001,1.6108,1.9953,2.404,0.042,0.4953,0.5047,0.9039,1.4085,left,True
3.797,4.9971,2.306,1.6214,4.9897,0.32,1.6348,1.9859,3.881,0.0677,0.4859,0.5141,0.8448,1.3588,left,True
4.107,4.9871,2.4104,1.7114,4.9806,0.4397,1.6589,1.9708,5.234,0.0914,0.4708,0.5292,0.7906,1.3199,left,True
4.4,4.9654,2.5131,1.8458,4.9686,0.5591,1.6828,1.954,6.324,0.1104,0.454,0.546,0.747,1.293,left,True
4.704,4.9289,2.6114,1.9958,4.9538,0.6782,1.7069,1.9334,7.059,0.1232,0.4334,0.5666,0.7177,1.2843,left,True
5.004,4.8782,2.7033,2.1458,4.9361,0.7969,1.7309,1.9072,7.431,0.1297,0.4072,0.5928,0.7028,1.2956,left,True
5.295,4.8143,2.7864,2.2958,4.9156,0.915,1.7548,1.8742,7.446,0.13,0.3742,0.6258,0.7022,1.328,left,True
5.5,4.765,2.8362,2.3958,4.9003,0.9936,1.7708,1.8476,7.264,0.1268,0.3476,0.6524,0.7094,1.3619,left,True
5.791,4.6825,2.901,2.5458,4.8751,1.1108,1.7948,1.8005,6.698,0.1169,0.3005,0.6995,0.7321,1.4315,left,True
6.102,4.5913,2.9527,2.6958,4.847,1.2276,1.8189,1.744,5.783,0.1009,0.244,0.756,0.7687,1.5247,left,True
6.39,4.4933,2.9902,2.8458,4.8162,1.3434,1.8428,1.6782,4.495,0.0785,0.1782,0.8218,0.8202,1.642,straight,True
6.69,4.3854,3.0138,2.9902,4.7825,1.4586,1.8668,1.6051,2.635,0.046,0.1051,0.8949,0.8946,1.7895,right,True
6.99,4.2472,3.0265,3.0952,4.7461,1.573,1.8908,1.5368,0.609,0.0106,0.0368,0.9632,0.9756,1.9389,right,True
7.303,4.1366,3.0278,-3.128,4.707,1.6865,1.9149,1.4574,3.324,0.058,0.0426,0.9574,0.867,1.8245,right,True
7.601,4.0317,3.0251,-3.113,4.6651,1.7991,1.9389,1.38,6.236,0.1088,0.12,0.88,0.7506,1.6306,right,True
7.901,3.9267,3.0234,3.1402,4.6206,1.9105,1.9629,1.3115,9.482,0.1655,0.1885,0.8115,0.6207,1.4323,fast_right,True
8.203,3.8176,3.0276,3.0652,4.5734,2.0209,1.9869,1.2588,13.059,0.2279,0.2412,0.7588,0.4777,1.2365,fast_right,True
8.507,3.6928,3.0448,2.9452,4.5236,2.13,2.0109,1.2357,17.031,0.2973,0.2643,0.7357,0.3187,1.0545,right,True
8.792,3.5757,3.0777,2.7958,4.4713,2.2377,2.0348,1.2279,20.251,0.3534,0.2721,0.7279,0.19,0.9178,fast_right,True
9.002,3.5107,3.1052,2.6958,4.4349,2.3091,2.0508,1.2198,21.751,0.3796,0.2802,0.7198,0.13,0.8497,right,True
9.301,3.4071,3.1652,2.5458,4.3781,2.4149,2.0749,1.2271,23.426,0.4089,0.2729,0.7271,0.063,0.7901,fast_right,True
9.603,3.3222,3.2336,2.3958,4.319,2.5192,2.0988,1.2264,24.116,0.4209,0.2736,0.7264,0.0354,0.7617,fast_right,True
9.892,3.2368,3.3262,2.2458,4.2573,2.6221,2.1228,1.2398,23.767,0.4148,0.2602,0.7398,0.0493,0.7891,fast_right,True
10.203,3.1663,3.4304,2.0958,4.1931,2.7236,2.1469,1.2465,22.453,0.3919,0.2535,0.7465,0.1019,0.8484,fast_right,True
10.502,3.1121,3.544,1.9458,4.1265,2.8235,2.1709,1.2443,20.232,0.3531,0.2557,0.7443,0.1907,0.935,fast_right,True
10.802,3.0755,3.6645,1.7958,4.0575,2.9217,2.1949,1.2313,17.142,0.2992,0.2687,0.7313,0.3143,1.0456,fast_right,True
11.102,3.0573,3.789,1.6458,3.9863,3.0182,2.2189,1.2072,13.184,0.2301,0.2928,0.7072,0.4726,1.1798,fast_straight,True
11.402,3.0581,3.9191,1.5,3.9127,3.113,2.2428,1.1749,8.167,0.1425,0.3251,0.6749,0.6733,1.3482,fast_left,True
11.703,3.0792,4.0773,1.392,3.8368,3.206,2.2669,1.1546,1.131,0.0197,0.3454,0.6546,0.9548,1.6094,fast_left,True
12.0,3.1076,4.2074,1.329,3.7589,3.2971,2.2908,1.1192,5.672,0.099,0.3808,0.6192,0.7731,1.3923,fast_left,True
12.302,3.1394,4.3293,1.311,3.6787,3.3864,2.3148,1.0862,12.865,0.2245,0.4138,0.5862,0.4854,1.0716,left,True
12.598,3.1695,4.4473,1.338,3.5963,3.4737,2.3389,1.0631,20.333,0.3549,0.4369,0.5631,0.1867,0.7498,fast_left,True
12.901,3.1911,4.5557,1.41,3.5119,3.559,2.3629,1.0471,27.54,0.4807,0.4529,0.5471,-0.1016,0.4455,fast_left,True
13.202,3.2039,4.681,1.527,3.4255,3.6423,2.3869,1.0621,34.718,0.6059,0.4379,0.5621,-0.3887,0.1734,fast_left,True
13.5,3.1995,4.8068,1.6758,3.3371,3.7234,2.4109,1.0921,40.893,0.7137,0.4079,0.5921,-0.6357,-0.0436,fast_left,True
13.794,3.1764,4.9306,1.8258,3.2469,3.8023,2.4348,1.1304,45.929,0.8016,0.3696,0.6304,-0.8372,-0.2067,left,True
14.101,3.1371,5.0443,1.9758,3.1546,3.8792,2.4589,1.1652,50.019,0.873,0.3348,0.6652,-1.0,-0.3348,fast_left,False
14.401,3.086,5.1407,2.1258,3.0606,3.9538,2.4828,1.1871,53.482,0.9334,0.3129,0.6871,-1.0,-0.3129,fast_right,False
14.691,3.0114,5.2421,2.2716,2.965,4.026,2.5068,1.2169,55.817,0.9742,0.2831,0.7169,-1.0,-0.2831,fast_right,False
15.001,2.9245,5.3332,2.3796,2.8673,4.0961,2.5309,1.2383,57.651,1.0062,0.2617,0.7383,-1.0,-0.2617,fast_right,False
15.303,2.8301,5.4167,2.4426,2.7682,4.1638,2.5549,1.2544,59.211,1.0334,0.2456,0.7544,-1.0,-0.2456,fast_right,False
15.602,2.7326,5.4965,2.4606,2.6675,4.229,2.5789,1.2691,60.697,1.0594,0.2309,0.7691,-1.0,-0.2309,fast_right,False
15.9,2.6356,5.5768,2.4336,2.5653,4.2918,2.6029,1.287,62.263,1.0867,0.213,0.787,-1.0,-0.213,fast_right,False
16.19,2.5428,5.662,2.3616,2.4617,4.352,2.6268,1.3125,64.046,1.1178,0.1875,0.8125,-1.0,-0.1875,fast_right,False
16.39,2.4854,5.7233,2.2886,2.3917,4.3909,2.6428,1.3357,65.447,1.1423,0.1643,0.8357,-1.0,-0.1643,fast_straight,False
16.69,2.4065,5.8285,2.1528,2.2857,4.447,2.6668,1.3868,67.793,1.1832,0.1132,0.8868,-1.0,-0.1132,left,False
16.955,2.3511,5.921,2.0798,2.2143,4.483,2.6828,1.4445,69.15,1.2069,0.0555,0.9445,-1.0,-0.0555,left,False
17.11,2.3511,5.921,2.0798,2.1784,4.5005,2.6908,1.4309,71.106,1.241,0.0691,0.9309,-1.0,-0.0691,left,False
17.401,2.2579,6.1124,1.9848,2.033,4.568,2.7229,1.5607,74.292,1.2966,0.0607,0.9393,-1.0,-0.0607,left,False
17.69,2.2159,6.2086,1.9878,1.923,4.6154,2.7468,1.6199,77.797,1.3578,0.1199,0.8801,-1.0,-0.1199,left,False
18.002,2.1713,6.3037,2.0358,1.8115,4.6603,2.7709,1.6823,81.107,1.4156,0.1823,0.8177,-1.0,-0.1823,left,False
18.29,2.1199,6.3952,2.1288,1.6994,4.7024,2.7948,1.7443,84.082,1.4675,0.2443,0.7557,-1.0,-0.2443,left,False
18.502,2.0802,6.4528,2.2158,1.6237,4.729,2.8109,1.7832,85.883,1.4989,0.2832,0.7168,-1.0,-0.2832,left,False
18.801,2.0106,6.5314,2.3656,1.5097,4.7666,2.8349,1.8344,88.271,1.5406,0.3344,0.6656,-1.0,-0.3344,left,False
19.101,1.9301,6.5986,2.5156,1.3949,4.8015,2.8589,1.8751,90.383,1.5775,0.3751,0.6249,-1.0,-0.3751,left,False
19.401,1.8405,6.6531,2.6656,1.2793,4.8336,2.8829,1.9041,92.318,1.6113,0.4041,0.5959,-1.0,-0.4041,left,False
19.702,1.7437,6.6935,2.8156,1.1628,4.8629,2.9069,1.9206,94.156,1.6433,0.4206,0.5794,-1.0,-0.4206,left,False
19.998,1.6419,6.7191,2.9656,1.046,4.8894,2.9308,1.9243,95.966,1.6749,0.4243,0.5757,-1.0,-0.4243,fast_left,False
20.29,1.5319,6.7294,3.1156,0.9285,4.913,2.9548,1.914,97.677,1.7048,0.414,0.586,-1.0,-0.414,fast_left,False
20.6,1.4062,6.7226,-3.0176,0.8101,4.9339,2.9789,1.8854,99.108,1.7298,0.3854,0.6146,-1.0,-0.3854,fast_left,False
20.902,1.283,6.6971,-2.8676,0.6914,4.952,3.0029,1.8427,100.775,1.7589,0.3427,0.6573,-1.0,-0.3427,fast_left,False
21.19,1.1649,6.6535,-2.7176,0.5726,4.9671,3.0268,1.7873,102.775,1.7938,0.2873,0.7127,-1.0,-0.2873,fast_left,False
21.403,1.0904,6.6148,-2.6176,0.4928,4.9757,3.0429,1.7446,104.373,1.8217,0.2446,0.7554,-1.0,-0.2446,fast_left,False
21.696,0.9868,6.5433,-2.4676,0.3735,4.986,3.0668,1.6737,107.213,1.8712,0.1737,0.8263,-1.0,-0.1737,straight,False
22.001,0.891,6.4532,-2.3232,0.2536,4.9936,3.0909,1.5927,110.684,1.9318,0.0927,0.9073,-1.0,-0.0927,right,False
22.295,0.7978,6.3411,-2.2182,0.1338,4.9982,3.1148,1.4981,114.776,2.0032,0.0019,0.9981,-1.0,-0.0019,straight,False
22.602,0.7294,6.2436,-2.1582,0.0137,5.0,3.1389,1.4348,119.763,2.0903,0.0652,0.9348,-1.0,-0.0652,left,False
22.901,0.6525,6.1247,-2.1348,-0.1063,4.9989,-3.1203,1.3576,125.2,2.1851,0.1424,0.8576,-1.0,-0.1424,left,False
23.197,0.5948,6.0284,-2.0808,-0.2263,4.9949,-3.0963,1.32,131.057,2.2874,0.18,0.82,-1.0,-0.18,left,False
23.504,0.5481,5.9344,-1.9818,-0.346,4.988,-3.0723,1.302,137.342,2.3971,0.198,0.802,-1.0,-0.198,left,False
23.79,0.5133,5.8355,-1.8408,-0.4655,4.9783,-3.0484,1.301,144.13,2.5155,0.199,0.801,-1.0,-0.199,left,False
24.098,0.4935,5.7325,-1.6908,-0.5849,4.9657,-3.0243,1.3232,151.303,2.6407,0.1768,0.8232,-1.0,-0.1768,fast_left,False
24.403,0.4893,5.622,-1.5408,-0.704,4.9502,-3.0003,1.3694,158.713,2.7701,0.1306,0.8694,-1.0,-0.1306,left,False
24.698,0.5025,5.5011,-1.3908,-0.8226,4.9319,-2.9763,1.4421,166.222,2.9011,0.0579,0.9421,-1.0,-0.0579,right,False
25.07,0.5293,5.3997,-1.2464,-0.9407,4.9107,-2.9523,1.5492,172.447,3.0098,0.0492,0.9508,-1.0,-0.0492,right,False
25.226,0.5293,5.3997,-1.2464,-0.9797,4.9031,-2.9444,1.5886,173.085,3.0209,0.0886,0.9114,-1.0,-0.0886,right,False
25.493,0.5995,5.2395,-1.0964,-1.1361,4.8692,-2.9124,1.7747,178.91,3.1226,0.2747,0.7253,-1.0,-0.2747,right,False
25.801,0.6493,5.1471,-1.0664,-1.2528,4.8405,-2.8883,1.9266,174.645,3.0481,0.4266,0.5734,-1.0,-0.4266,right,False
26.101,0.6996,5.0549,-1.0814,-1.3687,4.809,-2.8643,2.0829,170.894,2.9827,0.5829,0.4793,-1.0,-0.5207,right,False
26.402,0.7463,4.9609,-1.1414,-1.4837,4.7748,-2.8403,2.2377,167.509,2.9236,0.7377,0.4406,-1.0,-0.5594,right,False
26.69,0.785,4.8633,-1.2464,-1.5976,4.7379,-2.8164,2.3859,164.38,2.869,0.8859,0.4035,-1.0,-0.5965,right,False
27.001,0.8109,4.7617,-1.3908,-1.711,4.6981,-2.7923,2.5227,161.432,2.8175,1.0227,0.3693,-1.0,-0.6307,right,False
27.301,0.8213,4.6573,-1.5408,-1.8233,4.6557,-2.7683,2.6446,158.648,2.7689,1.1446,0.3388,-1.0,-0.6612,right,False
27.602,0.8161,4.5525,-1.6908,-1.9345,4.6106,-2.7443,2.7512,156.029,2.7232,1.2512,0.3122,-1.0,-0.6878,right,False
27.891,0.7953,4.4497,-1.8408,-2.0444,4.5629,-2.7204,2.8419,153.582,2.6805,1.3419,0.2895,-1.0,-0.7105,right,False
28.203,0.7593,4.3512,-1.9908,-2.1535,4.5125,-2.6963,2.9172,151.318,2.641,1.4172,0.2707,-1.0,-0.7293,fast_right,False
28.501,0.7068,4.2555,-2.1408,-2.2611,4.4595,-2.6723,2.9749,149.182,2.6037,1.4749,0.2563,-1.0,-0.7437,fast_right,False
28.79,0.6306,4.1553,-2.2908,-2.3673,4.4041,-2.6484,3.0082,146.998,2.5656,1.5082,0.2479,-1.0,-0.7521,fast_right,False
