elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.381,-0.3531,-0.0968,0.2524,0.0,0.0,0.2094,0.3661,176.666,3.0834,1.1339,0.0,-1.0,-1.0,right,False
0.688,-0.3477,-0.0954,0.2468,0.0,0.0,0.2094,0.3605,176.65,3.0831,1.1395,0.0,-1.0,-1.0,straight,False
0.981,-0.3038,-0.0853,0.213,0.0,0.0,0.2094,0.3156,176.324,3.0774,1.1844,0.0,-1.0,-1.0,straight,False
1.281,-0.2158,-0.0667,0.2074,0.0,0.0,0.2094,0.2258,174.833,3.0514,1.2742,0.0,-1.0,-1.0,straight,False
1.487,-0.1326,-0.0492,0.2074,0.0,0.0,0.2094,0.1414,171.659,2.996,1.3586,0.0,-1.0,-1.0,straight,False
1.784,0.0136,-0.0184,0.2074,0.0,0.0,0.2094,0.0229,65.528,1.1437,1.4771,0.0,-1.0,-1.0,straight,False
2.081,0.1604,0.0125,0.2074,0.0,0.0,0.2094,0.1609,7.55,0.1318,1.3391,0.0,0.698,0.698,straight,False
2.381,0.3072,0.0434,0.2074,0.0,0.0,0.2094,0.3102,3.965,0.0692,1.1898,0.0,0.8414,0.8414,straight,False
2.689,0.454,0.0742,0.2074,0.0394,0.0084,0.2094,0.4198,2.972,0.0519,1.0802,0.0,0.8811,0.8811,straight,False
2.984,0.6007,0.1051,0.2074,0.1567,0.0333,0.2094,0.4499,2.812,0.0491,1.0501,0.0,0.8875,0.8875,straight,False
3.29,0.7475,0.136,0.2074,0.2742,0.0583,0.2094,0.4796,2.675,0.0467,1.0204,0.0,0.893,0.893,straight,False
3.581,0.8943,0.1669,0.2074,0.3913,0.0832,0.2094,0.5099,2.551,0.0445,0.9901,0.0099,0.898,0.9079,straight,True
3.781,0.9922,0.1875,0.2074,0.4697,0.0998,0.2094,0.5298,2.478,0.0432,0.9702,0.0298,0.9009,0.9307,straight,True
4.089,1.139,0.2184,0.2074,0.587,0.1248,0.2094,0.5598,2.377,0.0415,0.9402,0.0598,0.9049,0.9647,straight,True
4.297,1.2368,0.2389,0.2074,0.6654,0.1414,0.2094,0.5797,2.316,0.0404,0.9203,0.0797,0.9074,0.987,straight,True
4.595,1.3836,0.2698,0.2074,0.7827,0.1664,0.2094,0.6097,2.231,0.0389,0.8903,0.1097,0.9108,1.0205,straight,True
4.883,1.5304,0.3007,0.2074,0.9,0.1913,0.2094,0.6398,2.154,0.0376,0.8602,0.1398,0.9138,1.0537,fast_left,True
5.092,1.6277,0.3212,0.208,0.9784,0.208,0.2094,0.6591,2.109,0.0368,0.8409,0.1591,0.9157,1.0748,fast_left,True
5.382,1.7536,0.3491,0.238,1.0956,0.2329,0.2094,0.6682,1.985,0.0346,0.8318,0.1682,0.9206,1.0888,fast_left,True
5.584,1.8349,0.3704,0.283,1.1739,0.2495,0.2094,0.6719,1.637,0.0286,0.8281,0.1719,0.9345,1.1065,fast_straight,True
