elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.416,1.0,0.0,0.2094,0.0,0.0,0.2094,1.0,12.0,0.2094,0.5,0.5,0.52,1.02,fast_left,True
0.715,1.0055,0.0012,0.215,0.0,0.0,0.2094,1.0055,11.933,0.2083,0.4945,0.5055,0.5227,1.0282,fast_left,True
1.108,1.0107,0.0024,0.2204,0.0,0.0,0.2094,1.0107,11.867,0.2071,0.4893,0.5107,0.5253,1.0361,fast_left,True
1.315,1.1349,0.0391,0.35,0.0,0.0,0.2094,1.1356,10.026,0.175,0.3644,0.6356,0.599,1.2346,fast_left,True
1.615,1.2481,0.0895,0.4844,0.0,0.0,0.2094,1.2513,7.897,0.1378,0.2487,0.7513,0.6841,1.4354,fast_left,True
1.821,1.3202,0.1327,0.5844,0.0,0.0,0.2094,1.3268,6.262,0.1093,0.1732,0.8268,0.7495,1.5763,fast_straight,True
2.121,1.4236,0.2138,0.7288,0.0,0.0,0.2094,1.4396,3.458,0.0604,0.0604,0.9396,0.8617,1.8012,right,True
2.422,1.5362,0.3271,0.8338,0.0003,0.0001,0.2094,1.5703,0.022,0.0004,0.0703,0.9297,0.9991,1.9288,right,True
2.715,1.6176,0.4232,0.8938,0.1175,0.025,0.2094,1.5521,2.869,0.0501,0.0521,0.9479,0.8853,1.8332,right,True
2.915,1.6609,0.4782,0.9088,0.1958,0.0416,0.2094,1.5288,4.594,0.0802,0.0288,0.9712,0.8162,1.7874,right,True
3.225,1.7258,0.5608,0.8938,0.3134,0.0666,0.2094,1.4964,7.283,0.1271,0.0036,0.9964,0.7087,1.7051,right,True
3.515,1.7939,0.6407,0.8338,0.4305,0.0915,0.2094,1.4699,9.941,0.1735,0.0301,0.9699,0.6024,1.5722,right,True
3.715,1.8427,0.6909,0.7688,0.5088,0.1081,0.2094,1.4556,11.6,0.2025,0.0444,0.9556,0.536,1.4916,right,True
4.019,1.9229,0.7586,0.6344,0.6261,0.1331,0.2094,1.4397,13.75,0.24,0.0603,0.9397,0.45,1.3897,right,True
4.328,2.0121,0.8138,0.4844,0.7437,0.1581,0.2094,1.4279,15.337,0.2677,0.0721,0.9279,0.3865,1.3144,right,True
4.627,2.1085,0.8551,0.3344,0.8611,0.183,0.2094,1.4169,16.313,0.2847,0.0831,0.9169,0.3475,1.2644,fast_right,True
4.926,2.2141,0.8823,0.1844,0.9784,0.208,0.2094,1.4077,16.621,0.2901,0.0923,0.9077,0.3352,1.2429,fast_right,True
5.227,2.3393,0.8954,0.0344,1.0958,0.2329,0.2094,1.409,16.047,0.2801,0.091,0.909,0.3581,1.2671,fast_right,True
5.529,2.4651,0.8897,-0.1156,1.2132,0.2579,0.2094,1.4022,14.78,0.258,0.0978,0.9022,0.4088,1.311,fast_straight,True
5.818,2.5927,0.8643,-0.2614,1.3304,0.2828,0.2094,1.3898,12.734,0.2223,0.1102,0.8898,0.4906,1.3804,fast_right,True
6.025,2.6935,0.8324,-0.3396,1.4088,0.2994,0.2094,1.3909,10.529,0.1838,0.1091,0.8909,0.5788,1.4697,fast_straight,True
6.327,2.8278,0.7744,-0.4692,1.5262,0.3244,0.2094,1.3772,7.072,0.1234,0.1228,0.8772,0.7171,1.5943,fast_left,True
6.625,2.9736,0.6898,-0.5682,1.6436,0.3494,0.2094,1.3729,2.357,0.0411,0.1271,0.8729,0.9057,1.7786,left,True
6.916,3.0875,0.6119,-0.6222,1.7608,0.3743,0.2094,1.3479,1.844,0.0322,0.1521,0.8479,0.9263,1.7741,fast_left,True
7.117,3.1455,0.5696,-0.6332,1.839,0.3909,0.2094,1.3187,4.21,0.0735,0.1813,0.8187,0.8316,1.6503,fast_left,True
7.377,3.2118,0.5213,-0.6242,1.9173,0.4075,0.2094,1.2995,6.975,0.1217,0.2005,0.7995,0.721,1.5205,left,True
7.532,3.2118,0.5213,-0.6242,1.9564,0.4158,-0.2094,1.2598,16.805,0.2933,0.2402,0.7598,0.3278,1.0876,fast_right,True
7.816,3.378,0.4125,-0.5226,2.1129,0.3825,-0.2094,1.2655,13.357,0.2331,0.2345,0.7655,0.4657,1.2312,fast_right,True
8.016,3.4516,0.372,-0.4896,2.1912,0.3659,-0.2094,1.2605,12.279,0.2143,0.2395,0.7605,0.5088,1.2693,fast_right,True
8.327,3.5634,0.3139,-0.4776,2.3087,0.3409,-0.2094,1.255,10.768,0.1879,0.245,0.755,0.5693,1.3243,fast_straight,True
8.617,3.6783,0.2526,-0.5022,2.4259,0.316,-0.2094,1.254,9.102,0.1589,0.246,0.754,0.6359,1.3899,fast_straight,True
8.926,3.8243,0.1719,-0.5052,2.5435,0.291,-0.2094,1.2863,6.687,0.1167,0.2137,0.7863,0.7325,1.5188,fast_straight,True
9.227,3.9818,0.0848,-0.5052,2.661,0.266,-0.2094,1.3332,4.187,0.0731,0.1668,0.8332,0.8325,1.6657,fast_left,True
9.529,4.1357,-0.0002,-0.501,2.7784,0.2411,-0.2094,1.3786,1.921,0.0335,0.1214,0.8786,0.9232,1.8017,fast_left,True
9.826,4.2589,-0.0649,-0.459,2.8956,0.2162,-0.2094,1.392,0.352,0.0062,0.108,0.892,0.9859,1.8779,fast_left,True
10.125,4.3741,-0.1158,-0.372,3.013,0.1912,-0.2094,1.3953,0.711,0.0124,0.1047,0.8953,0.9716,1.8669,left,True
10.428,4.4902,-0.1526,-0.2402,3.1304,0.1663,-0.2094,1.3966,1.197,0.0209,0.1034,0.8966,0.9521,1.8488,fast_left,True
10.728,4.5979,-0.1698,-0.0902,3.2479,0.1413,-0.2094,1.3854,0.975,0.017,0.1146,0.8854,0.961,1.8464,fast_straight,True
11.017,4.728,-0.171,0.0556,3.365,0.1164,-0.2094,1.393,0.094,0.0016,0.107,0.893,0.9962,1.8892,fast_right,True
11.327,4.8836,-0.1527,0.1636,3.4825,0.0914,-0.2094,1.4222,2.117,0.037,0.0778,0.9222,0.9153,1.8375,right,True
11.616,5.0071,-0.1277,0.2266,3.5997,0.0665,-0.2094,1.4208,4.143,0.0723,0.0792,0.9208,0.8343,1.7551,right,True
11.828,5.0751,-0.1112,0.2436,3.6781,0.0498,-0.2094,1.4063,5.423,0.0946,0.0937,0.9063,0.7831,1.6894,right,True
12.127,5.1771,-0.0862,0.2316,3.7955,0.0249,-0.2094,1.386,7.404,0.1292,0.114,0.886,0.7039,1.5899,right,True
12.428,5.2799,-0.0648,0.1746,3.9129,0.0001,0.2094,1.3686,14.717,0.2569,0.1314,0.8686,0.4113,1.2799,left,True
12.717,5.384,-0.0517,0.081,4.0301,0.025,0.2094,1.3561,15.241,0.266,0.1439,0.8561,0.3904,1.2465,fast_left,True
13.025,5.4945,-0.047,0.018,4.1476,0.0499,0.2094,1.3504,16.116,0.2813,0.1496,0.8504,0.3554,1.2058,fast_left,True
13.329,5.6205,-0.0464,0.0,4.265,0.0749,0.2094,1.3609,17.113,0.2987,0.1391,0.8609,0.3155,1.1764,left,True
13.629,5.7423,-0.0451,0.027,4.3824,0.0999,0.2094,1.3676,18.087,0.3157,0.1324,0.8676,0.2765,1.1441,left,True
13.926,5.8471,-0.0387,0.099,4.4998,0.1248,0.2094,1.3572,18.918,0.3302,0.1428,0.8572,0.2433,1.1005,fast_left,True
14.229,5.9548,-0.0214,0.216,4.6172,0.1498,0.2094,1.3486,19.29,0.3367,0.1514,0.8486,0.2284,1.077,fast_left,True
14.516,6.0753,0.0152,0.3648,4.7343,0.1747,0.2094,1.3504,18.781,0.3278,0.1496,0.8504,0.2488,1.0992,fast_left,True
14.717,6.1519,0.0495,0.4648,4.8126,0.1913,0.2094,1.3468,18.046,0.315,0.1532,0.8468,0.2782,1.125,fast_left,True
15.028,6.2596,0.1147,0.6148,4.9301,0.2163,0.2094,1.3333,16.37,0.2857,0.1667,0.8333,0.3452,1.1785,fast_straight,True
15.326,6.3595,0.1981,0.7606,5.0475,0.2412,0.2094,1.3126,13.885,0.2423,0.1874,0.8126,0.4446,1.2572,fast_straight,True
15.627,6.4727,0.3204,0.8686,5.1649,0.2662,0.2094,1.3089,9.625,0.168,0.1911,0.8089,0.615,1.4239,fast_straight,True
15.927,6.5837,0.4621,0.9316,5.2823,0.2911,0.2094,1.3126,4.518,0.0789,0.1874,0.8126,0.8193,1.6319,fast_right,True
16.277,6.6867,0.6045,0.9496,5.3995,0.316,0.2094,1.3192,0.631,0.011,0.1808,0.8192,0.9747,1.7939,fast_right,True
16.432,6.6867,0.6045,0.9496,5.4386,0.3244,0.2094,1.2792,0.651,0.0114,0.2208,0.7792,0.974,1.7532,fast_right,True
16.727,6.8211,0.7827,0.8796,5.5953,0.3577,0.2094,1.2974,7.125,0.1243,0.2026,0.7974,0.715,1.5124,fast_right,True
17.027,6.9061,0.8756,0.7776,5.7127,0.3826,0.2094,1.2913,10.443,0.1823,0.2087,0.7913,0.5823,1.3736,fast_right,True
17.317,7.0021,0.957,0.6348,5.8299,0.4075,0.2094,1.2946,13.115,0.2289,0.2054,0.7946,0.4754,1.27,fast_right,True
17.516,7.0724,1.003,0.5348,5.9081,0.4075,-0.2094,1.3077,39.091,0.6823,0.1923,0.8077,-0.5636,0.2441,right,True
17.819,7.1803,1.0561,0.3848,6.0255,0.3825,-0.2094,1.3369,42.255,0.7375,0.1631,0.8369,-0.6902,0.1467,right,True
18.127,7.2804,1.0876,0.2348,6.1431,0.3575,-0.2094,1.3515,44.697,0.7801,0.1485,0.8515,-0.7879,0.0636,right,True
18.427,7.384,1.1038,0.0848,6.2604,0.3326,-0.2094,1.3628,46.464,0.8109,0.1372,0.8628,-0.8585,0.0042,fast_right,True
18.726,7.4931,1.1041,-0.0652,6.3778,0.3076,-0.2094,1.3705,47.531,0.8296,0.1295,0.8705,-0.9012,-0.0308,fast_right,True
19.016,7.6177,1.0859,-0.2152,6.495,0.2827,-0.2094,1.3804,47.578,0.8304,0.1196,0.8804,-0.9031,-0.0227,fast_straight,True
19.216,7.6992,1.0633,-0.3146,6.5732,0.2661,-0.2094,1.3796,47.298,0.8255,0.1204,0.8796,-0.8919,-0.0124,fast_straight,True
