elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.448,-0.3123,0.102,0.1519,0.0,0.0,0.0,0.3285,161.919,2.826,1.1715,0.0,-1.0,-1.0,straight,False
0.75,-0.3067,0.1028,0.1519,0.0,0.0,0.0,0.3235,161.472,2.8182,1.1765,0.0,-1.0,-1.0,straight,False
1.045,-0.2577,0.1103,0.1519,0.0,0.0,0.0,0.2803,156.828,2.7372,1.2197,0.0,-1.0,-1.0,straight,False
1.351,-0.1658,0.1244,0.1519,0.0,0.0,0.0,0.2073,143.121,2.4979,1.2927,0.0,-1.0,-1.0,straight,False
1.653,-0.0404,0.1436,0.1519,0.0,0.0,0.0,0.1492,105.734,1.8454,1.3508,0.0,-1.0,-1.0,straight,False
1.95,0.1078,0.1663,0.1519,0.0,0.0,0.0,0.1982,57.035,0.9954,1.3018,0.0,-1.0,-1.0,straight,False
2.249,0.266,0.1905,0.1519,0.0,0.0,0.0,0.3271,35.606,0.6214,1.1729,0.0,-0.4242,-0.4242,straight,False
2.545,0.4143,0.2132,0.1519,0.0,0.0,0.0,0.4659,27.229,0.4752,1.0341,0.0,-0.0891,-0.0891,straight,False
2.745,0.5131,0.2283,0.1519,0.0001,0.0,0.0,0.5615,23.988,0.4187,0.9385,0.0615,0.0405,0.102,straight,True
2.945,0.612,0.2434,0.1519,0.0801,0.0,0.0,0.5849,24.592,0.4292,0.9151,0.0849,0.0163,0.1013,straight,True
3.252,0.7503,0.2646,0.1519,0.2003,0.0,0.0,0.6104,25.691,0.4484,0.8896,0.1104,-0.0276,0.0827,fast_straight,True
3.547,0.914,0.2897,0.1519,0.3203,0.0,0.0,0.6607,26.004,0.4539,0.8393,0.1607,-0.0402,0.1205,fast_right,True
3.847,1.0843,0.3155,0.1447,0.4401,0.0,0.0,0.7173,26.098,0.4555,0.7827,0.2173,-0.0439,0.1733,fast_right,True
4.16,1.2098,0.3318,0.1013,0.5602,0.0,0.0,0.7295,27.053,0.4722,0.7705,0.2295,-0.0821,0.1473,fast_right,True
4.452,1.3439,0.3398,0.0037,0.6805,0.0,0.0,0.7454,27.12,0.4733,0.7546,0.2454,-0.0848,0.1606,fast_right,True
4.747,1.4696,0.3326,-0.1331,0.8001,0.0,0.0,0.7476,26.418,0.4611,0.7524,0.2476,-0.0567,0.1909,fast_straight,True
5.048,1.5999,0.3056,-0.2759,0.9202,0.0,0.0,0.7453,24.208,0.4225,0.7547,0.2453,0.0317,0.277,fast_right,True
5.347,1.7509,0.2541,-0.3923,1.04,0.0,0.0,0.7549,19.667,0.3433,0.7451,0.2549,0.2133,0.4682,fast_right,True
5.547,1.8309,0.2171,-0.4881,1.1201,0.0,0.0,0.7433,16.982,0.2964,0.7567,0.2433,0.3207,0.564,fast_right,True
5.856,1.9377,0.1504,-0.6381,1.2408,0.0,0.0,0.7129,12.181,0.2126,0.7871,0.2129,0.5128,0.7257,fast_right,True
6.146,2.0333,0.0685,-0.7881,1.36,0.0,0.0,0.6768,5.813,0.1015,0.8232,0.1768,0.7675,0.9443,fast_left,True
6.347,2.0898,0.0064,-0.8869,1.4401,0.0,0.0,0.6498,0.566,0.0099,0.8502,0.1498,0.9774,1.1271,straight,True
6.547,2.141,-0.0617,-0.9699,1.5201,0.0,0.0,0.624,5.673,0.099,0.876,0.124,0.7731,0.897,straight,True
6.747,2.1939,-0.1441,-1.0329,1.6001,0.0,0.0,0.611,13.646,0.2382,0.889,0.111,0.4542,0.5652,straight,True
7.056,2.2621,-0.2664,-1.0875,1.7203,0.0,0.0,0.6038,26.179,0.4569,0.8962,0.1038,-0.0472,0.0566,fast_left,True
7.347,2.3324,-0.4039,-1.1019,1.8401,0.0,0.0,0.6368,39.361,0.687,0.8632,0.1368,-0.5744,-0.4377,fast_left,True
7.547,2.3708,-0.4786,-1.0849,1.9201,0.0,0.0,0.6574,46.716,0.8154,0.8426,0.1574,-0.8687,-0.7113,fast_left,True
7.857,2.4281,-0.5812,-1.0275,1.9597,0.0,3.1416,0.7465,128.869,2.2492,0.7535,0.2465,-1.0,-0.7535,fast_right,False
8.147,2.503,-0.6928,-0.9251,1.8398,0.0,3.1416,0.959,133.749,2.3344,0.541,0.459,-1.0,-0.541,fast_right,False
8.349,2.555,-0.7587,-0.8781,1.7598,0.0,3.1416,1.0991,136.347,2.3797,0.4009,0.5991,-1.0,-0.4009,right,False
8.656,2.6281,-0.8436,-0.8459,1.6396,0.0,3.1416,1.2995,139.52,2.4351,0.2005,0.7995,-1.0,-0.2005,right,False
8.949,2.7022,-0.9275,-0.8571,1.5197,0.0,3.1416,1.5029,141.892,2.4765,0.0029,0.9971,-1.0,-0.0029,right,False
9.298,2.7648,-1.0029,-0.9089,1.3997,0.0,3.1416,1.6939,143.696,2.508,0.1939,0.8061,-1.0,-0.1939,right,False
9.453,2.7648,-1.0029,-0.9089,1.36,0.0,3.1416,1.7261,144.478,2.5216,0.2261,0.7739,-1.0,-0.2261,right,False
9.747,2.8639,-1.1552,-1.1089,1.1998,0.0,3.1416,2.0258,145.232,2.5348,0.5258,0.4936,-1.0,-0.5064,right,False
10.05,2.904,-1.2522,-1.2589,1.0797,0.0,3.1416,2.2127,145.535,2.5401,0.7127,0.4468,-1.0,-0.5532,right,False
10.358,2.9279,-1.3471,-1.3989,0.9597,0.0,3.1416,2.3851,145.611,2.5414,0.8851,0.4037,-1.0,-0.5963,right,False
10.649,2.9388,-1.4585,-1.5589,0.8397,0.0,3.1416,2.556,145.207,2.5343,1.056,0.361,-1.0,-0.639,right,False
10.95,2.9327,-1.5632,-1.7089,0.7196,0.0,3.1416,2.7095,144.765,2.5266,1.2095,0.3226,-1.0,-0.6774,right,False
11.248,2.911,-1.6658,-1.8589,0.5999,0.0,3.1416,2.8489,144.216,2.517,1.3489,0.2878,-1.0,-0.7122,right,False
11.547,2.8742,-1.7641,-2.0089,0.48,0.0,3.1416,2.974,143.617,2.5066,1.474,0.2565,-1.0,-0.7435,right,False
11.747,2.8417,-1.826,-2.1089,0.3999,0.0,3.1416,3.0491,143.211,2.4995,1.5491,0.2377,-1.0,-0.7623,right,False
12.049,2.7818,-1.9121,-2.2589,0.2797,0.0,3.1416,3.1491,142.613,2.4891,1.6491,0.2127,-1.0,-0.7873,right,False
12.357,2.7148,-1.9836,-2.3989,0.1596,0.0,3.1416,3.2347,142.178,2.4815,1.7347,0.1913,-1.0,-0.8087,right,False
12.651,2.627,-2.0528,-2.5589,0.0395,0.0,3.1416,3.3029,141.573,2.4709,1.8029,0.1743,-1.0,-0.8257,right,False
12.955,2.5419,-2.1013,-2.6989,0.0802,0.0,0.0,3.2365,40.485,0.7066,1.7365,0.1909,-0.6194,-0.4285,left,True
13.258,2.4442,-2.1395,-2.8447,0.2003,0.0,0.0,3.1004,43.637,0.7616,1.6004,0.2249,-0.7455,-0.5206,fast_right,True
13.558,2.3382,-2.1655,-2.9611,0.3203,0.0,0.0,2.9599,47.022,0.8207,1.4599,0.26,-0.8809,-0.6208,right,True
13.854,2.2173,-2.1798,-3.1039,0.4403,0.0,0.0,2.8124,50.812,0.8868,1.3124,0.2969,-1.0,-0.7031,right,False
14.154,2.1125,-2.1764,3.0293,0.5604,0.0,0.0,2.6732,54.506,0.9513,1.1732,0.3317,-1.0,-0.6683,fast_right,False
14.457,2.0052,-2.1564,2.8793,0.6804,0.0,0.0,2.5309,58.434,1.0199,1.0309,0.3673,-1.0,-0.6327,fast_right,False
14.76,1.8862,-2.1154,2.7293,0.8004,0.0,0.0,2.3778,62.828,1.0965,0.8778,0.4056,-1.0,-0.5944,fast_right,False
15.057,1.7747,-2.057,2.5793,0.9204,0.0,0.0,2.2273,67.445,1.1771,0.7273,0.4432,-1.0,-0.5568,fast_right,False
15.357,1.6732,-1.9826,2.4293,1.0403,0.0,0.0,2.0811,72.296,1.2618,0.5811,0.4797,-1.0,-0.5203,fast_right,False
15.754,1.5784,-1.8875,2.2693,1.1601,0.0,0.0,1.9333,77.503,1.3527,0.4333,0.5667,-1.0,-0.4333,fast_right,False
15.909,1.5784,-1.8875,2.2693,1.2,0.0,0.0,1.925,78.665,1.373,0.425,0.575,-1.0,-0.425,fast_right,False
16.151,1.4676,-1.7196,2.0293,1.3601,0.0,0.0,1.723,86.423,1.5084,0.223,0.777,-1.0,-0.223,right,False
16.447,1.4192,-1.6004,1.8693,1.4801,0.0,0.0,1.6016,92.18,1.6088,0.1016,0.8984,-1.0,-0.1016,right,False
16.747,1.3954,-1.4982,1.7193,1.6003,0.0,0.0,1.5122,97.785,1.7067,0.0122,0.9878,-1.0,-0.0122,right,False
17.047,1.3872,-1.3937,1.5693,1.7202,0.0,0.0,1.4329,103.438,1.8053,0.0671,0.9329,-1.0,-0.0671,right,False
17.357,1.3937,-1.2959,1.4293,1.8403,0.0,0.0,1.3708,109.016,1.9027,0.1292,0.8708,-1.0,-0.1292,right,False
17.653,1.4157,-1.1934,1.2793,1.9603,0.0,0.0,1.3118,114.528,1.9989,0.1882,0.8118,-1.0,-0.1882,right,False
17.948,1.4558,-1.0889,1.1193,1.9198,0.0,3.1416,1.1836,66.923,1.168,0.3164,0.6836,-1.0,-0.3164,right,False
