elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.451,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
1.462,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
1.749,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
1.95,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
2.252,1.0056,0.0,0.0,0.0,0.0,0.0,1.0056,0.0,0.0,0.4944,0.5056,1.0,1.5056,fast_straight
2.556,1.0506,0.0,0.0,0.0402,0.0,0.0,1.0104,0.0,0.0,0.4896,0.5104,1.0,1.5104,fast_straight
2.85,1.1406,0.0,0.0,0.16,0.0,0.0,0.9806,0.0,0.0,0.5194,0.4806,1.0,1.4806,fast_straight
3.05,1.2256,0.0,0.0,0.2401,0.0,0.0,0.9855,0.0,0.0,0.5145,0.4855,1.0,1.4855,fast_straight
3.35,1.39,0.0,0.0,0.3601,0.0,0.0,1.0299,0.0,0.0,0.4701,0.5299,1.0,1.5299,fast_straight
3.55,1.51,0.0,0.0,0.4401,0.0,0.0,1.0699,0.0,0.0,0.4301,0.5699,1.0,1.5699,fast_straight
3.856,1.69,0.0,0.0,0.5602,0.0,0.0,1.1298,0.0,0.0,0.3702,0.6298,1.0,1.6298,fast_straight
4.155,1.87,0.0,0.0,0.6803,0.0,0.0,1.1897,0.0,0.0,0.3103,0.6897,1.0,1.6897,fast_straight
4.456,2.05,0.0,0.0,0.8001,0.0,0.0,1.2499,0.0,0.0,0.2501,0.7499,1.0,1.7499,fast_straight
4.762,2.23,0.0,0.0,0.9202,0.0,0.0,1.3098,0.0,0.0,0.1902,0.8098,1.0,1.8098,fast_straight
5.06,2.41,0.0,0.0,1.0402,0.0,0.0,1.3698,0.0,0.0,0.1302,0.8698,1.0,1.8698,fast_straight
5.361,2.59,0.0,0.0,1.1602,0.0,0.0,1.4298,0.0,0.0,0.0702,0.9298,1.0,1.9298,straight
5.651,2.7658,0.0,0.0,1.2801,0.0,0.0,1.4857,0.0,0.0,0.0143,0.9857,1.0,1.9857,straight
5.852,2.867,0.0,0.0,1.3602,0.0,0.0,1.5068,0.0,0.0,0.0068,0.9932,1.0,1.9932,straight
6.162,3.017,0.0,0.0,1.4803,0.0,0.0,1.5367,0.0,0.0,0.0367,0.9633,1.0,1.9633,straight
6.453,3.167,0.0,0.0,1.6001,0.0,0.0,1.5669,0.0,0.0,0.0669,0.9331,1.0,1.9331,straight
6.751,3.317,0.0,0.0,1.7201,0.0,0.0,1.5969,0.0,0.0,0.0969,0.9031,1.0,1.9031,straight
7.063,3.467,0.0,0.0,1.8403,0.0,0.0,1.6267,0.0,0.0,0.1267,0.8733,1.0,1.8733,straight
7.36,3.617,0.0,0.0,1.9602,0.0,0.0,1.6568,0.0,0.0,0.1568,0.8432,1.0,1.8432,straight
7.665,3.767,0.0,0.0,1.9197,0.0,3.1416,1.8473,180.0,3.1416,0.3473,0.6527,-1.0,-0.3473,right
