elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.388,-0.1858,-0.2312,0.2303,0.5,-1.0,0.0,1.0302,131.735,2.2992,0.4698,0.5302,-1.0,-0.4698,fast_left,False
0.688,-0.1804,-0.2299,0.2359,0.5,-1.0,0.0,1.0276,131.46,2.2944,0.4724,0.5276,-1.0,-0.4724,fast_left,False
0.986,-0.1368,-0.2185,0.2809,0.5,-1.0,0.0,1.0081,129.176,2.2545,0.4919,0.5081,-1.0,-0.4919,fast_left,False
1.281,-0.0515,-0.1899,0.3709,0.5,-1.0,0.0,0.98,124.249,2.1685,0.52,0.48,-1.0,-0.52,fast_left,False
1.481,0.0237,-0.1574,0.4559,0.5,-1.0,0.0,0.9679,119.477,2.0853,0.5321,0.4679,-1.0,-0.5321,fast_left,False
1.688,0.0974,-0.1171,0.5553,0.5,-1.0,0.0,0.9703,114.514,1.9986,0.5297,0.4703,-1.0,-0.5297,fast_left,False
1.988,0.1995,-0.0434,0.7053,0.5,-1.0,0.0,1.0027,107.442,1.8752,0.4973,0.5027,-1.0,-0.4973,fast_straight,False
2.286,0.2932,0.0487,0.8497,0.5,-1.0,0.0,1.0689,101.153,1.7655,0.4311,0.5689,-1.0,-0.4311,fast_right,False
2.587,0.3922,0.1741,0.9547,0.5403,-1.0,0.0,1.1834,97.19,1.6963,0.3166,0.6834,-1.0,-0.3166,fast_right,False
2.883,0.4649,0.2838,1.0147,0.6603,-1.0,0.0,1.2985,98.653,1.7218,0.2015,0.7985,-1.0,-0.2015,fast_right,False
3.187,0.5303,0.3915,1.0297,0.7803,-1.0,0.0,1.4138,100.188,1.7486,0.0862,0.9138,-1.0,-0.0862,right,False
3.487,0.5933,0.4941,0.9997,0.9004,-1.0,0.0,1.5253,101.615,1.7735,0.0253,0.9747,-1.0,-0.0253,right,False
3.788,0.6528,0.5806,0.9247,1.0204,-1.0,0.0,1.6228,103.095,1.7993,0.1228,0.8772,-1.0,-0.1228,right,False
4.1,0.7202,0.6609,0.8047,1.1403,-1.0,0.0,1.7132,104.194,1.8185,0.2132,0.7868,-1.0,-0.2132,right,False
4.393,0.798,0.7313,0.6553,1.2604,-1.0,0.0,1.792,104.952,1.8318,0.292,0.708,-1.0,-0.292,right,False
4.695,0.8855,0.7893,0.5053,1.3803,-1.0,0.0,1.8564,105.459,1.8406,0.3564,0.6436,-1.0,-0.3564,right,False
4.994,0.9806,0.8335,0.3553,1.5004,-1.0,0.0,1.9058,105.828,1.847,0.4058,0.5942,-1.0,-0.4058,fast_right,False
5.363,1.0853,0.864,0.2053,1.6201,-1.0,0.0,1.9392,106.007,1.8502,0.4392,0.5608,-1.0,-0.4392,fast_right,False
5.518,1.0853,0.864,0.2053,1.6601,-1.0,0.0,1.9506,107.137,1.8699,0.4506,0.5494,-1.0,-0.4506,fast_right,False
5.783,1.294,0.8818,-0.0447,1.8202,-1.0,0.0,1.954,105.62,1.8434,0.454,0.546,-1.0,-0.454,fast_right,False
6.083,1.4191,0.8674,-0.1947,1.9401,-1.0,0.0,1.9387,105.588,1.8429,0.4387,0.5613,-1.0,-0.4387,fast_right,False
6.382,1.5406,0.8345,-0.3447,2.0601,-1.0,0.0,1.9066,105.811,1.8468,0.4066,0.5934,-1.0,-0.4066,fast_straight,False
6.583,1.6188,0.8024,-0.4441,2.1401,-1.0,0.0,1.8762,106.133,1.8524,0.3762,0.6238,-1.0,-0.3762,fast_left,False
6.891,1.7455,0.7325,-0.5641,2.2603,-1.0,0.0,1.8074,106.55,1.8596,0.3074,0.6926,-1.0,-0.3074,fast_left,False
7.193,1.8498,0.6607,-0.6391,2.3803,-1.0,0.0,1.7434,107.717,1.88,0.2434,0.7566,-1.0,-0.2434,fast_left,False
7.493,1.9496,0.5838,-0.6691,2.5,-0.9995,1.5708,1.6763,19.169,0.3346,0.1763,0.8237,0.2332,1.057,left,True
7.787,2.0453,0.5086,-0.6541,2.5,-0.8797,1.5708,1.4608,18.133,0.3165,0.0392,0.9608,0.2747,1.2355,left,True
7.993,2.1015,0.4667,-0.6191,2.5,-0.7996,1.5708,1.3276,17.468,0.3049,0.1724,0.8276,0.3013,1.1289,left,True
8.294,2.1892,0.4092,-0.5291,2.5,-0.6796,1.5708,1.1322,15.93,0.278,0.3678,0.6322,0.3628,0.995,fast_left,True
8.583,2.2866,0.3599,-0.3947,2.5,-0.5599,1.5708,0.9443,13.06,0.2279,0.5557,0.4443,0.4776,0.9219,straight,True
8.792,2.3661,0.331,-0.2953,2.5,-0.4797,1.5708,0.8216,9.38,0.1637,0.6784,0.3216,0.6248,0.9464,straight,True
9.095,2.509,0.2968,-0.1753,2.5,-0.3596,1.5708,0.6565,0.783,0.0137,0.8435,0.1565,0.9687,1.1251,straight,True
9.393,2.6575,0.2764,-0.1003,2.5,-0.2396,1.5708,0.5395,16.977,0.2963,0.9605,0.0395,0.3209,0.3605,straight,True
9.692,2.807,0.2641,-0.0703,2.5,-0.1197,1.5708,0.4914,38.664,0.6748,1.0086,0.0,-0.5466,-0.5466,straight,False
9.995,2.9567,0.2536,-0.0697,2.5,0.0005,1.5708,0.5221,60.999,1.0646,0.9779,0.0221,-1.0,-0.9779,fast_left,False
10.293,3.1021,0.2435,-0.0655,2.5,0.1204,1.5708,0.6146,78.441,1.3691,0.8854,0.1146,-1.0,-0.8854,fast_left,False
10.587,3.2281,0.2372,-0.0235,2.5,0.2403,1.5708,0.7281,90.237,1.5749,0.7719,0.2281,-1.0,-0.7719,fast_left,False
10.793,3.3121,0.2371,0.0295,2.5,0.3204,1.5708,0.8164,95.851,1.6729,0.6836,0.3164,-1.0,-0.6836,fast_left,False
11.095,3.4377,0.2473,0.1465,2.5,0.4404,1.5708,0.9573,101.639,1.7739,0.5427,0.4573,-1.0,-0.5427,fast_left,False
