elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
1.131,1.5,-1.0,0.0,0.5,-1.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
1.423,1.5042,-1.0,0.0,0.5,-1.0,0.0,1.0042,0.0,0.0,0.4958,0.5042,1.0,1.5042,fast_straight
1.724,1.5462,-1.0,0.0,0.5,-1.0,0.0,1.0462,0.0,0.0,0.4538,0.5462,1.0,1.5462,fast_straight
2.023,1.6332,-1.0,0.0,0.5,-1.0,0.0,1.1332,0.0,0.0,0.3668,0.6332,1.0,1.6332,fast_straight
2.321,1.7652,-1.0,0.0,0.5,-1.0,0.0,1.2652,0.0,0.0,0.2348,0.7652,1.0,1.7652,fast_straight
2.521,1.878,-1.0,0.0,0.5,-1.0,0.0,1.378,0.0,0.0,0.122,0.878,1.0,1.878,fast_straight
2.827,2.058,-1.0,0.0,0.5005,-1.0,0.0,1.5575,0.0,0.0,0.0575,0.9425,1.0,1.9425,straight
3.122,2.2324,-1.0,0.0,0.6201,-1.0,0.0,1.6123,0.0,0.0,0.1123,0.8877,1.0,1.8877,straight
3.428,2.383,-1.0,0.0,0.7403,-1.0,0.0,1.6427,0.0,0.0,0.1427,0.8573,1.0,1.8573,straight
3.727,2.533,-1.0,0.0,0.8603,-1.0,0.0,1.6727,0.0,0.0,0.1727,0.8273,1.0,1.8273,straight
4.027,2.683,-1.0,0.0,0.9803,-1.0,0.0,1.7027,0.0,0.0,0.2027,0.7973,1.0,1.7973,straight
4.328,2.833,-1.0,0.0,1.1005,-1.0,0.0,1.7325,0.0,0.0,0.2325,0.7675,1.0,1.7675,straight
4.633,2.983,-1.0,0.0,1.2203,-1.0,0.0,1.7627,0.0,0.0,0.2627,0.7373,1.0,1.7373,straight
4.937,3.133,-1.0,0.0,1.3403,-1.0,0.0,1.7927,0.0,0.0,0.2927,0.7073,1.0,1.7073,straight
5.223,3.283,-1.0,0.0,1.4601,-1.0,0.0,1.8229,0.0,0.0,0.3229,0.6771,1.0,1.6771,straight
5.423,3.383,-1.0,0.0,1.5401,-1.0,0.0,1.8429,0.0,0.0,0.3429,0.6571,1.0,1.6571,straight
5.623,3.483,-1.0,0.0,1.6201,-1.0,0.0,1.8629,0.0,0.0,0.3629,0.6371,1.0,1.6371,straight
5.823,3.583,-1.0,0.0,1.7001,-1.0,0.0,1.8829,0.0,0.0,0.3829,0.6171,1.0,1.6171,straight
6.125,3.733,-1.0,0.0,1.8203,-1.0,0.0,1.9127,0.0,0.0,0.4127,0.5873,1.0,1.5873,straight
6.423,3.883,-1.0,0.0,1.9401,-1.0,0.0,1.9429,0.0,0.0,0.4429,0.5571,1.0,1.5571,straight
6.623,3.983,-1.0,0.0,2.0201,-1.0,0.0,1.9629,0.0,0.0,0.4629,0.5371,1.0,1.5371,straight
6.823,4.083,-1.0,0.0,2.1002,-1.0,0.0,1.9828,0.0,0.0,0.4828,0.5172,1.0,1.5172,straight
7.135,4.233,-1.0,0.0,2.2203,-1.0,0.0,2.0127,0.0,0.0,0.5127,0.4968,1.0,1.4968,straight
7.428,4.383,-1.0,0.0,2.3402,-1.0,0.0,2.0428,0.0,0.0,0.5428,0.4893,1.0,1.4893,straight
7.732,4.533,-1.0,0.0,2.4603,-1.0,0.0,2.0727,0.0,0.0,0.5727,0.4818,1.0,1.4818,straight
8.023,4.683,-1.0,0.0,2.5,-0.9199,1.5708,2.1845,92.101,1.6075,0.6845,0.4539,-1.0,-0.5461,left
8.416,4.8274,-0.9999,0.0056,2.5,-0.7997,1.5708,2.336,94.914,1.6566,0.836,0.416,-1.0,-0.584,left
8.572,4.8274,-0.9999,0.0056,2.5,-0.7599,1.5708,2.3397,95.885,1.6735,0.8397,0.4151,-1.0,-0.5849,left
8.828,5.0077,-0.9915,0.1056,2.5,-0.5998,1.5708,2.5381,98.879,1.7258,1.0381,0.3655,-1.0,-0.6345,left
9.135,5.1112,-0.9742,0.2256,2.5,-0.4796,1.5708,2.6577,100.726,1.758,1.1577,0.3356,-1.0,-0.6644,left
9.435,5.2113,-0.9427,0.375,2.5,-0.3597,1.5708,2.7733,102.135,1.7826,1.2733,0.3067,-1.0,-0.6933,left
9.736,5.3055,-0.8966,0.525,2.5,-0.2397,1.5708,2.8814,103.178,1.8008,1.3814,0.2797,-1.0,-0.7203,left
10.031,5.3918,-0.8369,0.675,2.5,-0.1198,1.5708,2.9794,103.928,1.8139,1.4794,0.2552,-1.0,-0.7448,left
10.335,5.4682,-0.7651,0.825,2.5,0.0003,1.5708,3.0653,104.459,1.8232,1.5653,0.2337,-1.0,-0.7663,left
10.632,5.533,-0.6826,0.975,2.5,0.1203,1.5708,3.1374,104.826,1.8296,1.6374,0.2156,-1.0,-0.7844,left
10.935,5.5847,-0.5913,1.125,2.5,0.2403,1.5708,3.1949,105.088,1.8341,1.6949,0.2013,-1.0,-0.7987,left
