elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.442,-0.2138,-0.3192,-0.1155,2.0,0.0,0.0,2.2367,171.795,2.9984,0.7367,0.4408,-1.0,-0.5592,fast_left,False
0.741,-0.2138,-0.3192,-0.1155,2.0,0.0,0.0,2.2367,171.795,2.9984,0.7367,0.4408,-1.0,-0.5592,fast_left,False
0.938,-0.2138,-0.3192,-0.1155,2.0,0.0,0.0,2.2367,171.795,2.9984,0.7367,0.4408,-1.0,-0.5592,fast_left,False
1.242,-0.2108,-0.3195,-0.1125,2.0,0.0,0.0,2.2338,171.776,2.998,0.7338,0.4416,-1.0,-0.5584,fast_left,False
1.543,-0.172,-0.3232,-0.0735,2.0,0.0,0.0,2.1959,171.536,2.9939,0.6959,0.451,-1.0,-0.549,fast_left,False
1.842,-0.088,-0.3261,0.0105,2.0,0.0,0.0,2.1133,171.124,2.9867,0.6133,0.4717,-1.0,-0.5283,fast_left,False
2.145,0.0334,-0.3178,0.1395,2.0,0.0,0.0,1.9921,170.821,2.9814,0.4921,0.5079,-1.0,-0.4921,fast_left,False
2.442,0.1565,-0.2916,0.2895,2.0,0.0,0.0,1.8664,171.012,2.9847,0.3664,0.6336,-1.0,-0.3664,fast_left,False
2.741,0.2744,-0.2473,0.4395,2.0,0.0,0.0,1.7433,171.845,2.9993,0.2433,0.7567,-1.0,-0.2433,fast_straight,False
3.045,0.3891,-0.183,0.5839,2.0,0.0,0.0,1.6213,173.519,3.0285,0.1213,0.8787,-1.0,-0.1213,fast_straight,False
3.343,0.5247,-0.0823,0.6889,2.0,0.0,0.0,1.4776,176.806,3.0859,0.0224,0.9776,-1.0,-0.0224,fast_left,False
3.739,0.6556,0.0328,0.7601,2.0,0.0,0.0,1.3448,178.6,3.1172,0.1552,0.8448,-1.0,-0.1552,left,False
3.892,0.6556,0.0328,0.7601,2.0,0.0,0.0,1.3448,178.6,3.1172,0.1552,0.8448,-1.0,-0.1552,fast_left,False
4.156,0.7959,0.1892,0.9595,2.0,0.0,0.0,1.2188,171.072,2.9858,0.2812,0.7188,-1.0,-0.2812,fast_left,False
4.448,0.8604,0.2966,1.1095,2.0,0.0,0.0,1.1775,165.413,2.887,0.3225,0.6775,-1.0,-0.3225,fast_straight,False
4.747,0.9104,0.4182,1.2539,2.0,0.0,0.0,1.1671,159.004,2.7751,0.3329,0.6671,-1.0,-0.3329,fast_right,False
5.046,0.9521,0.5724,1.3589,2.0,0.0,0.0,1.194,151.356,2.6417,0.306,0.694,-1.0,-0.306,fast_right,False
5.349,0.9758,0.7018,1.4189,2.0,0.0,0.0,1.2416,145.581,2.5409,0.2584,0.7416,-1.0,-0.2584,right,False
5.649,0.9928,0.821,1.4339,2.0,0.0,0.0,1.2994,140.817,2.4577,0.2006,0.7994,-1.0,-0.2006,right,False
5.946,1.0081,0.9249,1.4039,2.0,0.0,0.0,1.3561,137.002,2.3911,0.1439,0.8561,-1.0,-0.1439,right,False
6.248,1.0288,1.0278,1.3289,2.0,0.0,0.0,1.414,133.379,2.3279,0.086,0.914,-1.0,-0.086,right,False
6.546,1.0592,1.1282,1.2089,2.0,0.0,0.0,1.469,129.823,2.2658,0.031,0.969,-1.0,-0.031,fast_right,False
6.851,1.1057,1.2285,1.0595,2.0,0.0,0.0,1.5195,126.055,2.2001,0.0195,0.9805,-1.0,-0.0195,fast_right,False
7.149,1.1748,1.3337,0.9095,2.0,0.0,0.0,1.5683,121.747,2.1249,0.0683,0.9317,-1.0,-0.0683,fast_right,False
7.447,1.2589,1.4274,0.7595,2.0,0.0,0.0,1.6083,117.44,2.0497,0.1083,0.8917,-1.0,-0.1083,fast_right,False
7.748,1.356,1.5075,0.6095,2.0,0.0,0.0,1.6393,113.133,1.9745,0.1393,0.8607,-1.0,-0.1393,fast_right,False
8.047,1.464,1.5721,0.4595,2.0,0.0,0.0,1.661,108.827,1.8994,0.161,0.839,-1.0,-0.161,fast_right,False
8.349,1.5804,1.6199,0.3095,2.0,0.0,0.0,1.6734,104.521,1.8242,0.1734,0.8266,-1.0,-0.1734,fast_right,False
8.641,1.7027,1.6498,0.1595,2.0,0.0,0.0,1.6764,100.214,1.7491,0.1764,0.8236,-1.0,-0.1764,fast_right,False
8.949,1.8281,1.6611,0.0095,2.0,0.0,0.0,1.6699,95.908,1.6739,0.1699,0.8301,-1.0,-0.1699,right,False
9.248,1.9482,1.6541,-0.1405,2.0,0.0,0.0,1.6549,91.794,1.6021,0.1549,0.8451,-1.0,-0.1549,right,False
9.539,2.0508,1.6322,-0.2905,2.0,0.0,0.0,1.633,88.218,1.5397,0.133,0.867,-1.0,-0.133,right,False
9.848,2.1489,1.5952,-0.4405,2.0,0.0,0.0,1.6021,84.666,1.4777,0.1021,0.8979,-1.0,-0.1021,straight,False
10.138,2.2453,1.541,-0.5849,2.0,0.0,0.0,1.5604,80.957,1.413,0.0604,0.9396,-1.0,-0.0604,left,False
10.338,2.3215,1.4864,-0.6599,2.0,0.0,0.0,1.5208,77.795,1.3578,0.0208,0.9792,-1.0,-0.0208,left,False
10.547,2.3873,1.4326,-0.7149,2.0,0.0,0.0,1.4841,74.871,1.3068,0.0159,0.9841,-1.0,-0.0159,left,False
10.848,2.4653,1.3615,-0.7599,2.0,0.0,0.0,1.4388,71.13,1.2415,0.0612,0.9388,-1.0,-0.0612,fast_left,False
11.149,2.5452,1.285,-0.7599,2.0,0.0,0.0,1.3959,67.008,1.1695,0.1041,0.8959,-1.0,-0.1041,fast_left,False
11.512,2.6381,1.1998,-0.7149,2.0,0.0,0.0,1.3589,61.996,1.082,0.1411,0.8589,-1.0,-0.1411,fast_left,False
11.667,2.6381,1.1998,-0.7149,2.0,0.0,0.0,1.3589,61.996,1.082,0.1411,0.8589,-1.0,-0.1411,fast_left,False
11.948,2.8061,1.0744,-0.5399,2.0,0.0,0.0,1.3432,53.118,0.9271,0.1568,0.8432,-1.0,-0.1568,fast_left,False
12.243,2.9183,1.0173,-0.3905,2.0,0.0,0.0,1.3705,47.927,0.8365,0.1295,0.8705,-0.9171,-0.0466,fast_left,True
12.55,3.0378,0.9776,-0.2405,2.0,0.0,0.0,1.4258,43.29,0.7556,0.0742,0.9258,-0.7316,0.1942,fast_right,True
12.846,3.1619,0.9562,-0.0961,2.0,0.0,0.0,1.5047,39.454,0.6886,0.0047,0.9953,-0.5782,0.4171,fast_right,True
13.148,3.2877,0.9507,0.0089,2.0,0.0,0.0,1.6006,36.44,0.636,0.1006,0.8994,-0.4576,0.4418,fast_right,True
13.449,3.4136,0.9559,0.0689,2.0,0.0,0.0,1.7064,34.067,0.5946,0.2064,0.7936,-0.3627,0.4309,fast_right,True
13.746,3.5392,0.9659,0.0839,2.0,0.0,0.0,1.8171,32.11,0.5604,0.3171,0.6829,-0.2844,0.3985,fast_right,True
14.049,3.6648,0.9752,0.0539,2.0,0.0,0.0,1.9294,30.36,0.5299,0.4294,0.5706,-0.2144,0.3562,fast_right,True
14.348,3.7907,0.978,-0.0211,2.0,0.0,0.0,2.0404,28.641,0.4999,0.5404,0.4899,-0.1457,0.3442,fast_right,True
14.648,3.9163,0.9688,-0.1411,2.0,0.0,0.0,2.1473,26.819,0.4681,0.6473,0.4632,-0.0728,0.3904,fast_right,True
