elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.444,3.5,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,1.0,2.0,straight
0.743,3.5056,0.0,0.0,2.0,0.0,0.0,1.5056,0.0,0.0,0.0056,0.9944,1.0,1.9944,straight
1.044,3.5506,0.0,0.0,2.0,0.0,0.0,1.5506,0.0,0.0,0.0506,0.9494,1.0,1.9494,straight
1.348,3.6406,0.0,0.0,2.0,0.0,0.0,1.6406,0.0,0.0,0.1406,0.8594,1.0,1.8594,straight
1.643,3.775,0.0,0.0,2.0,0.0,0.0,1.775,0.0,0.0,0.275,0.725,1.0,1.725,straight
1.949,3.925,0.0,0.0,2.0,0.0,0.0,1.925,0.0,0.0,0.425,0.575,1.0,1.575,straight
2.243,4.075,0.0,0.0,2.0,0.0,0.0,2.075,0.0,0.0,0.575,0.4813,1.0,1.4813,straight
2.543,4.225,0.0,0.0,2.0,0.0,0.0,2.225,0.0,0.0,0.725,0.4438,1.0,1.4438,straight
2.742,4.325,0.0,0.0,2.0,0.0,0.0,2.325,0.0,0.0,0.825,0.4188,1.0,1.4188,straight
3.051,4.475,0.0,0.0,2.0,0.0,0.0,2.475,0.0,0.0,0.975,0.3813,1.0,1.3813,straight
3.347,4.625,0.0,0.0,2.0,0.0,0.0,2.625,0.0,0.0,1.125,0.3438,1.0,1.3438,straight
3.646,4.775,0.0,0.0,2.0,0.0,0.0,2.775,0.0,0.0,1.275,0.3063,1.0,1.3063,straight
3.948,4.925,0.0,0.0,2.0,0.0,0.0,2.925,0.0,0.0,1.425,0.2688,1.0,1.2688,right
4.263,5.0694,-0.0001,-0.0056,2.0,0.0,0.0,3.0694,0.003,0.0,1.5694,0.2327,0.9999,1.2325,right
4.548,5.18,-0.0029,-0.0506,2.0,0.0,0.0,3.18,0.053,0.0009,1.68,0.205,0.9979,1.2029,right
4.854,5.2844,-0.0129,-0.1406,2.0,0.0,0.0,3.2845,0.225,0.0039,1.7845,0.1789,0.991,1.1699,right
5.153,5.3871,-0.0346,-0.275,2.0,0.0,0.0,3.3873,0.586,0.0102,1.8873,0.1532,0.9766,1.1298,right
5.454,5.4854,-0.0711,-0.425,2.0,0.0,0.0,3.4862,1.168,0.0204,1.9862,0.1285,0.9533,1.0817,right
5.756,5.5773,-0.1218,-0.575,2.0,0.0,0.0,3.5793,1.951,0.034,2.0793,0.1052,0.922,1.0271,fast_right
6.044,5.6636,-0.1885,-0.725,2.0,0.0,0.0,3.6685,2.945,0.0514,2.1685,0.0829,0.8822,0.9651,right
6.356,5.7472,-0.275,-0.875,2.0,0.0,0.0,3.7573,4.197,0.0733,2.2573,0.0607,0.8321,0.8928,right
6.643,5.8078,-0.3606,-1.025,2.0,0.0,0.0,3.8248,5.41,0.0944,2.3248,0.0438,0.7836,0.8274,right
6.844,5.8408,-0.4223,-1.125,2.0,0.0,0.0,3.8639,6.275,0.1095,2.3639,0.034,0.749,0.783,fast_right
