elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.386,0.0,0.0,0.0,0.0,0.0,0.6981,0.0,40.0,0.6981,1.5,0.0,-0.6,-0.6,straight,False
0.658,0.213,0.0319,0.1449,0.0,0.0,0.6981,0.2154,31.472,0.5493,1.2846,0.0,-0.2589,-0.2589,straight,False
0.96,0.2516,0.0376,0.1449,0.0,0.0,0.6981,0.2544,31.507,0.5499,1.2456,0.0,-0.2603,-0.2603,straight,False
1.253,0.3418,0.0507,0.1449,0.0,0.0,0.6981,0.3456,31.557,0.5508,1.1544,0.0,-0.2623,-0.2623,straight,False
1.559,0.4623,0.0683,0.1449,0.0,0.0,0.6981,0.4674,31.594,0.5514,1.0326,0.0,-0.2638,-0.2638,straight,False
1.86,0.6108,0.09,0.1449,0.0,0.0,0.6981,0.6174,31.62,0.5519,0.8826,0.1174,-0.2648,-0.1474,fast_left,True
2.16,0.755,0.1111,0.1491,0.0,0.0,0.6981,0.7632,31.63,0.552,0.7368,0.2632,-0.2652,-0.002,fast_left,True
2.46,0.8795,0.1318,0.1911,0.0,0.0,0.6981,0.8893,31.477,0.5494,0.6107,0.3893,-0.2591,0.1303,fast_left,True
2.752,1.0103,0.1626,0.2855,0.0,0.0,0.6981,1.0233,30.858,0.5386,0.4767,0.5233,-0.2343,0.289,fast_left,True
2.959,1.0821,0.1862,0.3611,0.0309,0.0259,0.6981,1.0633,31.332,0.5469,0.4367,0.5633,-0.2533,0.31,fast_left,True
3.26,1.1965,0.2387,0.5099,0.1229,0.1031,0.6981,1.0822,32.803,0.5725,0.4178,0.5822,-0.3121,0.2701,fast_left,True
3.559,1.3018,0.3076,0.6599,0.2148,0.1802,0.6981,1.0944,33.315,0.5815,0.4056,0.5944,-0.3326,0.2618,fast_left,True
3.86,1.3956,0.3916,0.8099,0.3067,0.2574,0.6981,1.0971,32.973,0.5755,0.4029,0.5971,-0.3189,0.2782,fast_left,True
4.172,1.4758,0.4886,0.9599,0.3986,0.3345,0.6981,1.0882,31.859,0.556,0.4118,0.5882,-0.2743,0.3138,fast_left,True
4.467,1.5407,0.5965,1.1099,0.4905,0.4116,0.6981,1.0663,30.014,0.5238,0.4337,0.5663,-0.2005,0.3657,fast_left,True
4.763,1.5886,0.7129,1.2599,0.5824,0.4887,0.6981,1.0309,27.44,0.4789,0.4691,0.5309,-0.0976,0.4333,fast_right,True
5.063,1.6187,0.8351,1.4057,0.6744,0.5659,0.6981,0.982,24.086,0.4204,0.518,0.482,0.0366,0.5185,fast_right,True
5.366,1.6327,0.9603,1.5137,0.7664,0.6431,0.6981,0.9225,19.889,0.3471,0.5775,0.4225,0.2044,0.6269,fast_right,True
5.66,1.6357,1.0862,1.5767,0.8582,0.7201,0.6981,0.8593,14.785,0.258,0.6407,0.3593,0.4086,0.7679,fast_right,True
5.965,1.6334,1.2122,1.5947,0.9502,0.7973,0.6981,0.7993,8.731,0.1524,0.7007,0.2993,0.6508,0.9501,fast_right,True
6.263,1.6315,1.3382,1.5677,1.0421,0.8744,0.6981,0.75,1.804,0.0315,0.75,0.25,0.9279,1.1779,fast_right,True
6.564,1.6357,1.4641,1.4957,1.134,0.9516,0.6981,0.7172,5.615,0.098,0.7828,0.2172,0.7754,0.9926,fast_right,True
6.865,1.6515,1.589,1.3787,1.226,0.8996,-0.6981,0.8101,98.315,1.7159,0.6899,0.3101,-1.0,-0.6899,fast_right,False
7.165,1.684,1.7107,1.2299,1.3179,0.8225,-0.6981,0.9606,107.601,1.878,0.5394,0.4606,-1.0,-0.5394,fast_right,False
7.466,1.7343,1.8261,1.0799,1.4098,0.7454,-0.6981,1.1283,113.287,1.9772,0.3717,0.6283,-1.0,-0.3717,right,False
7.764,1.7988,1.9292,0.9299,1.5018,0.6682,-0.6981,1.2955,116.745,2.0376,0.2045,0.7955,-1.0,-0.2045,right,False
8.065,1.8673,2.0087,0.7799,1.5937,0.5911,-0.6981,1.4438,119.078,2.0783,0.0562,0.9438,-1.0,-0.0562,right,False
8.366,1.9468,2.0771,0.6299,1.6856,0.514,-0.6981,1.5848,120.513,2.1034,0.0848,0.9152,-1.0,-0.0848,right,False
8.664,2.0357,2.1328,0.4799,1.7775,0.4368,-0.6981,1.7155,121.344,2.1179,0.2155,0.7845,-1.0,-0.2155,right,False
8.965,2.1319,2.1746,0.3299,1.8694,0.3597,-0.6981,1.8337,121.769,2.1253,0.3337,0.6663,-1.0,-0.3337,right,False
9.265,2.2333,2.2016,0.1799,1.9614,0.2826,-0.6981,1.9382,121.935,2.1282,0.4382,0.5618,-1.0,-0.4382,right,False
