elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.436,1.0,0.0,0.6981,0.0,0.0,0.6981,1.0,40.0,0.6981,0.5,0.5,-0.6,-0.1,fast_left
0.74,1.0,0.0,0.6981,0.0,0.0,0.6981,1.0,40.0,0.6981,0.5,0.5,-0.6,-0.1,fast_left
1.04,1.0,0.0,0.6981,0.0,0.0,0.6981,1.0,40.0,0.6981,0.5,0.5,-0.6,-0.1,fast_left
1.341,1.0043,0.0036,0.7037,0.0,0.0,0.6981,1.0043,39.794,0.6945,0.4957,0.5043,-0.5918,-0.0875,fast_left
1.636,1.0379,0.0335,0.7487,0.0,0.0,0.6981,1.0384,38.149,0.6658,0.4616,0.5384,-0.5259,0.0125,fast_left
1.937,1.1008,0.0979,0.8387,0.0,0.0,0.6981,1.1051,34.918,0.6094,0.3949,0.6051,-0.3967,0.2084,fast_left
2.236,1.177,0.1955,0.9731,0.0,0.0,0.6981,1.1932,30.568,0.5335,0.3068,0.6932,-0.2227,0.4705,fast_left
2.442,1.2204,0.2674,1.0731,0.0,0.0,0.6981,1.2494,27.64,0.4824,0.2506,0.7494,-0.1056,0.6438,fast_left
2.742,1.2715,0.3825,1.2231,0.0,0.0,0.6981,1.3277,23.257,0.4059,0.1723,0.8277,0.0697,0.8975,fast_straight
3.042,1.3061,0.5093,1.3675,0.0001,0.0001,0.6981,1.4017,18.699,0.3264,0.0983,0.9017,0.252,1.1538,fast_left
3.342,1.3286,0.6675,1.4837,0.092,0.0772,0.6981,1.3702,14.485,0.2528,0.1298,0.8702,0.4206,1.2908,fast_right
3.542,1.332,0.757,1.5775,0.1534,0.1287,0.6981,1.3357,11.941,0.2084,0.1643,0.8357,0.5224,1.358,fast_right
3.842,1.3227,0.8825,1.6975,0.2453,0.2058,0.6981,1.2723,7.866,0.1373,0.2277,0.7723,0.6853,1.4577,right
4.14,1.3024,1.0012,1.7725,0.3371,0.2828,0.6981,1.2033,3.345,0.0584,0.2967,0.7033,0.8662,1.5695,right
4.438,1.2793,1.1036,1.8025,0.429,0.3599,0.6981,1.1297,1.171,0.0204,0.3703,0.6297,0.9532,1.5828,fast_right
4.748,1.2544,1.2114,1.7875,0.521,0.4372,0.6981,1.0664,6.55,0.1143,0.4336,0.5664,0.738,1.3044,right
5.037,1.2315,1.331,1.7275,0.6128,0.5142,0.6981,1.0246,12.856,0.2244,0.4754,0.5246,0.4857,1.0104,fast_right
5.347,1.2202,1.4409,1.6225,0.7049,0.5914,0.6981,0.9936,18.758,0.3274,0.5064,0.4936,0.2497,0.7433,fast_right
5.649,1.2231,1.5668,1.4781,0.7969,0.6687,0.6981,0.9941,24.612,0.4296,0.5059,0.4941,0.0155,0.5097,fast_right
5.945,1.2448,1.6908,1.3281,0.8887,0.7457,0.6981,1.0099,29.357,0.5124,0.4901,0.5099,-0.1743,0.3357,fast_right
6.237,1.2847,1.8102,1.1781,0.9805,0.8228,0.6981,1.0332,32.88,0.5739,0.4668,0.5332,-0.3152,0.218,fast_right
6.541,1.342,1.9223,1.0281,1.0725,0.8999,0.6981,1.0573,35.232,0.6149,0.4427,0.5573,-0.4093,0.148,fast_right
6.85,1.4154,2.0245,0.8781,1.1645,0.9512,-0.6981,1.1023,116.844,2.0393,0.3977,0.6023,-1.0,-0.3977,fast_right
7.141,1.5033,2.1147,0.7281,1.2564,0.8742,-0.6981,1.2648,118.741,2.0724,0.2352,0.7648,-1.0,-0.2352,right
7.445,1.599,2.1875,0.5781,1.3484,0.7969,-0.6981,1.413,119.782,2.0906,0.087,0.913,-1.0,-0.087,right
7.829,1.6912,2.2376,0.4281,1.4404,0.7198,-0.6981,1.5385,120.617,2.1052,0.0385,0.9615,-1.0,-0.0385,right
7.985,1.6912,2.2376,0.4281,1.4708,0.6942,-0.6981,1.559,121.872,2.1271,0.059,0.941,-1.0,-0.059,right
8.247,1.858,2.2889,0.1781,1.5935,0.5913,-0.6981,1.7181,121.142,2.1143,0.2181,0.7819,-1.0,-0.2181,right
8.55,1.9624,2.2992,0.0281,1.6854,0.5141,-0.6981,1.8064,121.178,2.115,0.3064,0.6936,-1.0,-0.3064,right
8.849,2.0672,2.2937,-0.1219,1.7774,0.437,-0.6981,1.8792,121.129,2.1141,0.3792,0.6208,-1.0,-0.3792,fast_right
9.14,2.174,2.2716,-0.2719,1.8691,0.36,-0.6981,1.9358,120.939,2.1108,0.4358,0.5642,-1.0,-0.4358,fast_right
9.451,2.2922,2.2282,-0.4219,1.9612,0.2827,-0.6981,1.9735,120.345,2.1004,0.4735,0.5265,-1.0,-0.4735,fast_right
9.748,2.4025,2.1677,-0.5719,2.0532,0.2056,-0.6981,1.993,119.903,2.0927,0.493,0.507,-1.0,-0.493,fast_right
10.048,2.5026,2.0913,-0.7219,2.1451,0.1284,-0.6981,1.9952,119.678,2.0888,0.4952,0.5048,-1.0,-0.4952,fast_right
10.34,2.5901,2.0008,-0.8719,2.2369,0.0514,-0.6981,1.9812,119.729,2.0897,0.4812,0.5188,-1.0,-0.4812,fast_right
10.637,2.6632,1.8983,-1.0219,2.3288,0.0257,0.6981,1.9022,39.875,0.6959,0.4022,0.5978,-0.595,0.0028,fast_left
10.937,2.7202,1.7861,-1.1663,2.4207,0.1028,0.6981,1.7097,39.91,0.6966,0.2097,0.7903,-0.5964,0.1939,fast_left
11.137,2.7499,1.7075,-1.2413,2.482,0.1543,0.6981,1.5762,40.213,0.7018,0.0762,0.9238,-0.6085,0.3153,fast_left
11.337,2.7745,1.6272,-1.2963,2.5432,0.2057,0.6981,1.4402,40.759,0.7114,0.0598,0.9402,-0.6303,0.3099,fast_left
11.646,2.8053,1.505,-1.3413,2.6353,0.283,0.6981,1.2338,42.082,0.7345,0.2662,0.7338,-0.6833,0.0506,left
11.95,2.8322,1.3877,-1.3413,2.7274,0.3602,0.6981,1.0329,44.171,0.7709,0.4671,0.5329,-0.7669,-0.234,left
12.237,2.8582,1.286,-1.2963,2.8191,0.4371,0.6981,0.8498,47.36,0.8266,0.6502,0.3498,-0.8944,-0.5446,straight
